,atds
0,0.5829
1,0.5496
2,0.5136
3,0.4939
4,0.5599
5,0.5164
6,0.5888
7,0.5261
8,0.5219
9,0.5587
10,0.5769
11,0.523
12,0.5221
13,0.5533
14,0.5027
15,0.538
16,0.5125
17,0.4828
18,0.5851
19,0.6164
20,0.5266
21,0.4984
22,0.5313
23,0.5075
24,0.4875
25,0.5554
26,0.5325
27,0.5586
28,0.4872
29,0.5485
30,0.5433
31,0.5775
32,0.564
33,0.5249
34,0.551
35,0.5392
36,0.5667
37,0.5834
38,0.5684
39,0.5145
40,0.5765
41,0.4415
42,0.5355
43,0.4956
44,0.5621
45,0.5455
46,0.4736
47,0.4747
48,0.4871
49,0.6171
50,0.5802
51,0.5222
52,0.4677
53,0.5386
54,0.5752
55,0.5297
56,0.4777
57,0.5015
58,0.5089
59,0.5542
60,0.5004
61,0.629
62,0.5383
63,0.48
64,0.5437
65,0.5539
66,0.5024
67,0.4535
68,0.5306
69,0.5532
70,0.5821
71,0.5161
72,0.5333
73,0.5274
74,0.5029
75,0.5235
76,0.5651
77,0.5588
78,0.5553
79,0.5594
80,0.4739
81,0.564
82,0.5336
83,0.4948
84,0.548
85,0.5062
86,0.5133
87,0.5063
88,0.5675
89,0.5534
90,0.5519
91,0.4871
92,0.5483
93,0.5233
94,0.4881
95,0.5821
96,0.5287
97,0.5126
98,0.5592
99,0.5839
100,0.5707
101,0.5634
102,0.5955
103,0.5264
104,0.6038
105,0.5277
106,0.5434
107,0.5045
108,0.5725
109,0.4925
110,0.5419
111,0.5199
112,0.4906
113,0.6073
114,0.6212
115,0.5265
116,0.5913
117,0.5477
118,0.519
119,0.449
120,0.5035
121,0.396
122,0.5573
123,0.5266
124,0.584
125,0.5744
126,0.5586
127,0.6231
128,0.5031
129,0.5611
130,0.5601
131,0.6046
132,0.5557
133,0.5081
134,0.5175
135,0.5343
136,0.5457
137,0.5448
138,0.5319
139,0.562
140,0.5101
141,0.5417
142,0.5993
143,0.5548
144,0.6037
145,0.6138
146,0.5666
147,0.5971
148,0.5284
149,0.5488
150,0.5417
151,0.4851
152,0.544
153,0.556
154,0.55
155,0.5722
156,0.612
157,0.5191
158,0.5831
159,0.5159
160,0.5261
161,0.489
162,0.532
163,0.5122
164,0.4508
165,0.543
166,0.5354
167,0.6014
168,0.5632
169,0.5435
170,0.5529
171,0.5072
172,0.542
173,0.4836
174,0.5313
175,0.6287
176,0.536
177,0.471
178,0.5128
179,0.5449
180,0.4894
181,0.5406
182,0.6124
183,0.5209
184,0.5435
185,0.5782
186,0.5743
187,0.4839
188,0.5511
189,0.545
190,0.4955
191,0.5995
192,0.6198
193,0.5067
194,0.538
195,0.4655
196,0.5116
197,0.569
198,0.5288
199,0.5582
200,0.5584
201,0.4395
202,0.5189
203,0.4962
204,0.5689
205,0.5545
206,0.493
207,0.5531
208,0.5574
209,0.5446
210,0.5655
211,0.5214
212,0.5839
213,0.588
214,0.5018
215,0.522
216,0.6252
217,0.5551
218,0.5271
219,0.5728
220,0.5615
221,0.6172
222,0.5109
223,0.5733
224,0.5181
225,0.5688
226,0.4994
227,0.529
228,0.5377
229,0.598
230,0.4605
231,0.4978
232,0.4893
233,0.5091
234,0.5069
235,0.5813
236,0.5293
237,0.5502
238,0.5565
239,0.592
240,0.5607
241,0.5845
242,0.5696
243,0.6081
244,0.5606
245,0.5482
246,0.545
247,0.5267
248,0.5038
249,0.5748
250,0.5771
251,0.4999
252,0.5264
253,0.5298
254,0.5932
255,0.5598
256,0.581
257,0.5512
258,0.5322
259,0.5822
260,0.4758
261,0.5319
262,0.5396
263,0.5404
264,0.5266
265,0.5317
266,0.4685
267,0.5406
268,0.5076
269,0.5706
270,0.5876
271,0.5245
272,0.5816
273,0.5518
274,0.566
275,0.5671
276,0.5806
277,0.4699
278,0.4281
279,0.467
280,0.5628
281,0.521
282,0.5757
283,0.5794
284,0.5212
285,0.4589
286,0.5464
287,0.5114
288,0.5753
289,0.5427
290,0.4955
291,0.5501
292,0.5092
293,0.5459
294,0.604
295,0.4997
296,0.5967
297,0.5478
298,0.5461
299,0.6004
300,0.5272
301,0.5098
302,0.546
303,0.5274
304,0.4792
305,0.5834
306,0.5374
307,0.5246
308,0.5845
309,0.4445
310,0.4372
311,0.5896
312,0.5874
313,0.5127
314,0.4809
315,0.4623
316,0.4799
317,0.5752
318,0.5007
319,0.5604
320,0.5188
321,0.5393
322,0.526
323,0.569
324,0.5272
325,0.5524
326,0.6169
327,0.4897
328,0.5477
329,0.5131
330,0.4347
331,0.4693
332,0.5954
333,0.5424
334,0.523
335,0.5694
336,0.5102
337,0.4918
338,0.5332
339,0.5078
340,0.5244
341,0.5662
342,0.5424
343,0.5645
344,0.5038
345,0.6187
346,0.527
347,0.4991
348,0.5341
349,0.5559
350,0.606
351,0.5406
352,0.5576
353,0.582
354,0.5051
355,0.5514
356,0.4971
357,0.6125
358,0.6133
359,0.551
360,0.5724
361,0.5417
362,0.4958
363,0.6116
364,0.5306
365,0.5272
366,0.5176
367,0.5061
368,0.5718
369,0.5569
370,0.5703
371,0.4949
372,0.4979
373,0.4743
374,0.5271
375,0.5345
376,0.4998
377,0.5203
378,0.445
379,0.5741
380,0.5652
381,0.5676
382,0.5747
383,0.5075
384,0.539
385,0.5092
386,0.5949
387,0.4917
388,0.5679
389,0.5497
390,0.528
391,0.5494
392,0.6253
393,0.604
394,0.5826
395,0.5417
396,0.4767
397,0.5019
398,0.433
399,0.4888
400,0.4942
401,0.548
402,0.5675
403,0.4979
404,0.5106
405,0.5153
406,0.5644
407,0.5551
408,0.5027
409,0.5333
410,0.5371
411,0.5762
412,0.5801
413,0.5807
414,0.5407
415,0.5581
416,0.5561
417,0.5557
418,0.5053
419,0.5524
420,0.5287
421,0.5872
422,0.5397
423,0.526
424,0.5465
425,0.5085
426,0.5293
427,0.5327
428,0.5482
429,0.5165
430,0.4998
431,0.4744
432,0.5
433,0.5031
434,0.5597
435,0.4949
436,0.5911
437,0.5545
438,0.5703
439,0.5756
440,0.5099
441,0.5557
442,0.5732
443,0.5675
444,0.4579
445,0.5019
446,0.5815
447,0.5319
448,0.5249
449,0.5351
450,0.5554
451,0.5914
452,0.4891
453,0.5649
454,0.5501
455,0.5364
456,0.5783
457,0.5619
458,0.5865
459,0.5608
460,0.4134
461,0.5128
462,0.5431
463,0.5621
464,0.5993
465,0.5578
466,0.5203
467,0.5883
468,0.5584
469,0.5965
470,0.5535
471,0.5947
472,0.5125
473,0.5082
474,0.5333
475,0.5371
476,0.4957
477,0.579
478,0.5036
479,0.5313
480,0.5798
481,0.6028
482,0.5477
483,0.5813
484,0.4778
485,0.4739
486,0.478
487,0.5507
488,0.5541
489,0.5779
490,0.5483
491,0.5473
492,0.5589
493,0.546
494,0.5303
495,0.5442
496,0.5392
497,0.57
498,0.4961
499,0.461
500,0.6079
501,0.6112
502,0.5596
503,0.5706
504,0.4934
505,0.5936
506,0.5982
507,0.6391
508,0.4913
509,0.4729
510,0.506
511,0.56
512,0.5429
513,0.5311
514,0.5522
515,0.5114
516,0.5984
517,0.5583
518,0.4227
519,0.5413
520,0.584
521,0.5518
522,0.5395
523,0.3259
524,0.5299
525,0.5548
526,0.5481
527,0.5565
528,0.5895
529,0.5422
530,0.4773
531,0.5503
532,0.5202
533,0.4918
534,0.5202
535,0.5535
536,0.5427
537,0.5549
538,0.5574
539,0.469
540,0.5462
541,0.4862
542,0.483
543,0.5495
544,0.5226
545,0.5493
546,0.4808
547,0.5286
548,0.4917
549,0.4973
550,0.5925
551,0.5019
552,0.5523
553,0.5802
554,0.5201
555,0.5476
556,0.5006
557,0.5556
558,0.5442
559,0.3788
560,0.5743
561,0.5562
562,0.5835
563,0.6178
564,0.5121
565,0.5529
566,0.4544
567,0.5308
568,0.4997
569,0.5586
570,0.5278
571,0.5495
572,0.5569
573,0.53
574,0.5471
575,0.5241
576,0.5557
577,0.5904
578,0.5618
579,0.5909
580,0.5009
581,0.5125
582,0.5375
583,0.5013
584,0.5531
585,0.5324
586,0.5093
587,0.5589
588,0.6047
589,0.5342
590,0.5426
591,0.5148
592,0.5556
593,0.5807
594,0.4812
595,0.5687
596,0.4291
597,0.5634
598,0.5652
599,0.6091
600,0.5707
601,0.5849
602,0.5455
603,0.5476
604,0.5626
605,0.5738
606,0.5228
607,0.5053
608,0.5601
609,0.5443
610,0.5157
611,0.5114
612,0.5359
613,0.4916
614,0.612
615,0.6075
616,0.562
617,0.5529
618,0.4944
619,0.4631
620,0.5374
621,0.5872
622,0.5269
623,0.5399
624,0.571
625,0.4957
626,0.5421
627,0.5702
628,0.5846
629,0.5743
630,0.5277
631,0.519
632,0.5683
633,0.5597
634,0.6175
635,0.6007
636,0.5412
637,0.5191
638,0.5973
639,0.5941
640,0.5283
641,0.4235
642,0.528
643,0.4528
644,0.5286
645,0.5896
646,0.5762
647,0.5197
648,0.5305
649,0.561
650,0.5347
651,0.573
652,0.5646
653,0.5547
654,0.5149
655,0.6288
656,0.529
657,0.5009
658,0.5554
659,0.5746
660,0.5551
661,0.524
662,0.5644
663,0.4582
664,0.532
665,0.5609
666,0.4558
667,0.504
668,0.5769
669,0.5563
670,0.5555
671,0.5978
672,0.5018
673,0.5651
674,0.5654
675,0.5611
676,0.5615
677,0.5659
678,0.5645
679,0.534
680,0.559
681,0.5687
682,0.5537
683,0.4672
684,0.5492
685,0.5328
686,0.5126
687,0.5545
688,0.601
689,0.5301
690,0.5609
691,0.5689
692,0.4878
693,0.5589
694,0.5255
695,0.5826
696,0.478
697,0.6184
698,0.4682
699,0.5739
700,0.5081
701,0.5808
702,0.5143
703,0.5915
704,0.5784
705,0.5088
706,0.557
707,0.5003
708,0.5373
709,0.5763
710,0.5888
711,0.5399
712,0.5764
713,0.4087
714,0.4856
715,0.5889
716,0.5873
717,0.4804
718,0.5372
719,0.4714
720,0.5619
721,0.5327
722,0.5775
723,0.5109
724,0.4557
725,0.5293
726,0.4952
727,0.566
728,0.5283
729,0.4883
730,0.6195
731,0.527
732,0.5459
733,0.5093
734,0.509
735,0.545
736,0.5563
737,0.5858
738,0.5066
739,0.501
740,0.5628
741,0.5199
742,0.5586
743,0.5438
744,0.4985
745,0.4901
746,0.5174
747,0.544
748,0.5267
749,0.5382
750,0.5423
751,0.5083
752,0.5472
753,0.5278
754,0.5349
755,0.5469
756,0.5446
757,0.5038
758,0.5018
759,0.5761
760,0.5547
761,0.5929
762,0.4611
763,0.5285
764,0.5687
765,0.4736
766,0.4927
767,0.5094
768,0.5342
769,0.4318
770,0.6102
771,0.5981
772,0.5404
773,0.5762
774,0.5839
775,0.5242
776,0.4864
777,0.5293
778,0.4654
779,0.6017
780,0.5474
781,0.5464
782,0.5357
783,0.5296
784,0.6066
785,0.4962
786,0.5317
787,0.5591
788,0.5658
789,0.6365
790,0.5689
791,0.5384
792,0.5223
793,0.5392
794,0.5476
795,0.5534
796,0.5926
797,0.5929
798,0.5266
799,0.5051
800,0.6145
801,0.5515
802,0.5648
803,0.4795
804,0.4817
805,0.6158
806,0.5858
807,0.4901
808,0.5441
809,0.5607
810,0.507
811,0.5478
812,0.5355
813,0.5333
814,0.5389
815,0.5729
816,0.5392
817,0.5749
818,0.5528
819,0.5517
820,0.5583
821,0.5317
822,0.5189
823,0.5611
824,0.4748
825,0.4472
826,0.4363
827,0.5001
828,0.5475
829,0.5152
830,0.5725
831,0.5694
832,0.5198
833,0.5961
834,0.5345
835,0.5431
836,0.5874
837,0.5171
838,0.4805
839,0.5835
840,0.6033
841,0.6235
842,0.5765
843,0.5001
844,0.5366
845,0.519
846,0.5928
847,0.5831
848,0.5378
849,0.5347
850,0.5527
851,0.5671
852,0.5599
853,0.5512
854,0.574
855,0.5453
856,0.5739
857,0.5764
858,0.5141
859,0.4773
860,0.5711
861,0.5388
862,0.4408
863,0.5356
864,0.5802
865,0.597
866,0.5691
867,0.5636
868,0.5595
869,0.5583
870,0.5446
871,0.5016
872,0.4453
873,0.5317
874,0.5861
875,0.5468
876,0.5284
877,0.485
878,0.5904
879,0.5589
880,0.5014
881,0.5048
882,0.5275
883,0.5674
884,0.5522
885,0.5626
886,0.5803
887,0.5341
888,0.5353
889,0.5275
890,0.4561
891,0.5906
892,0.5934
893,0.5129
894,0.5316
895,0.5078
896,0.5614
897,0.5635
898,0.5536
899,0.4549
900,0.5606
901,0.5361
902,0.5521
903,0.5193
904,0.587
905,0.5048
906,0.5603
907,0.5342
908,0.6124
909,0.472
910,0.5313
911,0.5785
912,0.5164
913,0.5954
914,0.5295
915,0.4832
916,0.5279
917,0.5029
918,0.5582
919,0.5848
920,0.5089
921,0.5174
922,0.4908
923,0.5611
