,atds
0,0.5225
1,0.5322
2,0.5284
3,0.6328
4,0.5672
5,0.5451
6,0.5712
7,0.5439
8,0.6238
9,0.6083
10,0.534
11,0.5455
12,0.5768
13,0.5695
14,0.5992
15,0.5412
16,0.5483
17,0.5512
18,0.4868
19,0.5469
20,0.5699
21,0.5941
22,0.5567
23,0.5548
24,0.5559
25,0.4572
26,0.5804
27,0.5343
28,0.5579
29,0.5768
30,0.5851
31,0.5137
32,0.5534
33,0.5434
34,0.5516
35,0.5173
36,0.5561
37,0.5263
38,0.56
39,0.5107
40,0.5684
41,0.5974
42,0.5604
43,0.5846
44,0.5531
45,0.5471
46,0.6156
47,0.5429
48,0.4336
49,0.5396
50,0.5509
51,0.5605
52,0.5493
53,0.5001
54,0.6292
55,0.5406
56,0.5739
57,0.5118
58,0.5826
59,0.5578
60,0.5287
61,0.5246
62,0.5552
63,0.5506
64,0.5364
65,0.5971
66,0.5402
67,0.5562
68,0.616
69,0.5487
70,0.4941
71,0.5818
72,0.5654
73,0.5327
74,0.5405
75,0.5829
76,0.6039
77,0.5496
78,0.5332
79,0.5493
80,0.5802
81,0.599
82,0.5316
83,0.5596
84,0.5768
85,0.5391
86,0.5635
87,0.5409
88,0.6147
89,0.5724
90,0.5244
91,0.5631
92,0.5876
93,0.5261
94,0.6051
95,0.5876
96,0.5469
97,0.5075
98,0.5651
99,0.4904
100,0.5243
101,0.4828
102,0.5159
103,0.5929
104,0.5418
105,0.6074
106,0.5513
107,0.5231
108,0.5281
109,0.5823
110,0.6244
111,0.595
112,0.5653
113,0.5735
114,0.4939
115,0.4478
116,0.5856
117,0.5442
118,0.4962
119,0.5324
120,0.5975
121,0.5908
122,0.5529
123,0.5807
124,0.6198
125,0.5574
126,0.5434
127,0.525
128,0.591
129,0.5053
130,0.5237
131,0.5347
132,0.5346
133,0.5198
134,0.5668
135,0.5543
136,0.5395
137,0.5344
138,0.4892
139,0.5591
140,0.5207
141,0.6036
142,0.559
143,0.5341
144,0.6017
145,0.6098
146,0.5645
147,0.5207
148,0.562
149,0.5715
150,0.5565
151,0.554
152,0.5627
153,0.5688
154,0.5299
155,0.598
156,0.5515
157,0.5996
158,0.5441
159,0.5079
160,0.5685
161,0.4968
162,0.5356
163,0.5838
164,0.5784
165,0.5896
166,0.4911
167,0.5076
168,0.5262
169,0.5367
170,0.5681
171,0.5479
172,0.5074
173,0.5237
174,0.577
175,0.602
176,0.5879
177,0.5844
178,0.5044
179,0.5833
180,0.5548
181,0.5054
182,0.5221
183,0.5675
184,0.5757
185,0.5509
186,0.5446
187,0.5479
188,0.5686
189,0.5526
190,0.5225
191,0.5484
192,0.4461
193,0.5269
194,0.5441
195,0.5929
196,0.5903
197,0.5814
198,0.6458
199,0.5822
200,0.5006
201,0.5616
202,0.4925
203,0.5582
204,0.5794
205,0.5788
206,0.6001
207,0.5783
208,0.6
209,0.5368
210,0.5771
211,0.5014
212,0.5984
213,0.5634
214,0.5753
215,0.5612
216,0.5704
217,0.5977
218,0.526
219,0.5529
220,0.5126
221,0.6162
222,0.5047
223,0.5885
224,0.5966
225,0.5582
226,0.5601
227,0.5651
228,0.5444
229,0.4814
230,0.5751
231,0.5854
232,0.5607
233,0.535
234,0.4914
235,0.5756
236,0.5463
237,0.5498
238,0.5644
239,0.5457
240,0.4478
241,0.547
242,0.5967
243,0.5716
244,0.5697
245,0.5313
246,0.6028
247,0.5353
248,0.5694
249,0.5651
250,0.6018
251,0.5742
252,0.5523
253,0.501
254,0.582
255,0.6178
256,0.5374
257,0.5675
258,0.5958
259,0.5742
260,0.5216
261,0.6023
262,0.5822
263,0.6466
264,0.5686
265,0.5969
266,0.6486
267,0.5543
268,0.5108
269,0.5427
270,0.5526
271,0.6147
272,0.5285
273,0.5551
274,0.5888
275,0.5862
276,0.6037
