,atds
0,0.5124
1,0.6377
2,0.658
3,0.6708
4,0.6535
5,0.5746
6,0.6264
7,0.6114
8,0.6431
9,0.6648
10,0.6441
11,0.6683
12,0.633
13,0.6803
14,0.654
15,0.6332
16,0.6359
17,0.6723
18,0.6383
19,0.6465
20,0.6565
21,0.6684
22,0.641
23,0.6475
24,0.6131
25,0.6682
26,0.636
27,0.6244
28,0.6431
29,0.6096
30,0.6344
31,0.6421
32,0.6614
33,0.6273
34,0.6681
35,0.6732
36,0.6258
37,0.6744
38,0.6523
39,0.6733
40,0.6563
41,0.6321
42,0.6748
43,0.5736
44,0.6462
45,0.6474
46,0.6298
47,0.6223
48,0.6418
49,0.6455
50,0.6133
51,0.6582
52,0.6289
53,0.6564
54,0.6309
55,0.6663
56,0.6388
57,0.6148
58,0.6297
59,0.6495
60,0.6454
61,0.6274
62,0.6545
63,0.6818
64,0.6364
65,0.6794
66,0.6438
67,0.628
68,0.6523
69,0.6377
70,0.634
71,0.6706
72,0.6661
73,0.6524
74,0.6348
75,0.6691
76,0.6641
77,0.6416
78,0.643
79,0.6262
80,0.6571
81,0.6488
82,0.647
83,0.6379
84,0.6705
85,0.6295
86,0.6692
87,0.6385
88,0.6427
89,0.5644
90,0.6595
91,0.6769
92,0.6302
93,0.651
94,0.6684
95,0.6513
96,0.6236
97,0.6542
98,0.5995
99,0.6218
100,0.6427
101,0.6394
102,0.642
103,0.6389
104,0.6614
105,0.654
106,0.6634
107,0.683
108,0.6652
109,0.6518
110,0.6347
111,0.6337
112,0.6205
113,0.6825
114,0.6685
115,0.6474
116,0.6503
117,0.6373
118,0.6432
119,0.6286
120,0.6324
121,0.6134
122,0.6614
123,0.6058
124,0.6555
125,0.6421
126,0.6636
127,0.6568
128,0.6465
129,0.6453
130,0.6426
131,0.6434
132,0.656
133,0.6481
134,0.61
135,0.6122
136,0.6596
137,0.6383
138,0.6713
139,0.6474
140,0.6616
141,0.6675
142,0.6401
143,0.6215
144,0.6338
145,0.6349
146,0.6325
147,0.676
148,0.5923
149,0.6257
150,0.6908
151,0.5996
152,0.6076
153,0.6532
154,0.6153
155,0.4853
156,0.6694
157,0.6513
158,0.5997
159,0.6302
160,0.498
161,0.6002
162,0.6301
163,0.6355
164,0.6157
165,0.6366
166,0.614
167,0.6448
168,0.6024
169,0.6408
170,0.6424
171,0.6357
172,0.6516
173,0.613
174,0.6778
175,0.6681
176,0.6657
177,0.6503
178,0.655
179,0.6296
180,0.6525
181,0.6286
182,0.649
183,0.6216
184,0.6717
185,0.6268
186,0.6536
187,0.6453
188,0.6406
189,0.6489
190,0.6565
191,0.6622
192,0.6614
193,0.627
194,0.6179
195,0.6154
196,0.6589
197,0.6822
198,0.6334
199,0.6561
200,0.6555
201,0.6489
202,0.6519
203,0.6196
204,0.617
205,0.6441
206,0.6185
207,0.6756
208,0.6537
209,0.6372
210,0.577
211,0.6476
212,0.6201
213,0.6165
214,0.5985
215,0.6456
216,0.6888
217,0.6451
218,0.6468
219,0.6352
220,0.6285
221,0.6343
222,0.64
223,0.6711
224,0.6451
225,0.6637
226,0.6616
227,0.6936
228,0.6282
229,0.6628
230,0.7072
231,0.6488
232,0.6741
233,0.6299
234,0.6485
235,0.6699
236,0.6555
237,0.6483
238,0.6422
239,0.6005
240,0.6752
241,0.6739
242,0.6295
243,0.6483
244,0.6367
245,0.6669
246,0.6302
247,0.6367
248,0.6619
249,0.639
250,0.6725
251,0.6679
252,0.6648
253,0.6521
254,0.6218
255,0.577
256,0.6549
257,0.651
258,0.661
259,0.6315
260,0.6454
261,0.6839
262,0.6405
263,0.655
264,0.6275
265,0.6542
266,0.6556
267,0.6429
268,0.6534
269,0.616
270,0.6547
271,0.68
272,0.6536
273,0.672
274,0.6661
275,0.5389
276,0.6415
277,0.6242
278,0.6009
279,0.6452
280,0.6421
281,0.6608
282,0.6614
283,0.6671
284,0.6311
285,0.6604
286,0.6236
287,0.5335
288,0.6139
289,0.6519
290,0.6506
291,0.6588
292,0.6159
293,0.6493
294,0.6685
295,0.6494
296,0.6365
297,0.6613
298,0.6315
299,0.6512
300,0.6561
301,0.6746
302,0.6617
303,0.6491
304,0.6249
305,0.6458
306,0.6514
307,0.6571
308,0.6325
309,0.6585
310,0.6289
311,0.6355
312,0.6487
313,0.6196
314,0.6413
315,0.6204
316,0.6506
317,0.6741
318,0.638
319,0.6491
320,0.6372
321,0.6202
322,0.6815
323,0.6499
324,0.6689
325,0.6376
326,0.6145
327,0.541
328,0.6405
329,0.6424
330,0.642
331,0.5976
332,0.5822
333,0.5938
334,0.6491
335,0.6321
336,0.6533
337,0.6615
338,0.6477
339,0.6343
340,0.6517
341,0.6376
342,0.655
343,0.5764
344,0.6268
345,0.6655
346,0.6232
347,0.6348
348,0.6133
349,0.6253
350,0.6374
351,0.6472
352,0.6643
353,0.6199
354,0.661
355,0.6594
356,0.6488
357,0.6571
358,0.6492
359,0.6471
360,0.6262
361,0.6074
362,0.609
363,0.6337
364,0.6627
365,0.6748
366,0.62
367,0.6345
368,0.6179
369,0.7043
370,0.6433
371,0.618
372,0.6535
373,0.6257
374,0.6483
375,0.6766
376,0.6137
377,0.6666
378,0.6732
379,0.6703
380,0.6212
381,0.6523
382,0.6544
383,0.6581
384,0.6578
385,0.6593
386,0.6543
387,0.6541
388,0.6805
389,0.6698
390,0.6489
391,0.6245
392,0.6478
393,0.6344
394,0.6512
395,0.6427
396,0.6424
397,0.6309
398,0.6453
399,0.615
400,0.6755
401,0.6375
402,0.6517
403,0.6649
404,0.6467
405,0.6489
406,0.648
407,0.6565
408,0.6451
409,0.6408
410,0.6761
411,0.6705
412,0.6624
413,0.6583
414,0.6689
415,0.6245
416,0.6424
417,0.628
418,0.6539
419,0.6528
420,0.6183
421,0.6592
422,0.6551
423,0.6555
424,0.6423
425,0.6498
426,0.6324
427,0.6129
428,0.6356
429,0.6365
430,0.6343
431,0.6225
432,0.618
433,0.6622
434,0.6242
435,0.6307
436,0.553
437,0.5814
438,0.643
439,0.6596
440,0.6328
441,0.6672
442,0.6589
443,0.6541
444,0.6499
445,0.6209
446,0.643
447,0.6198
448,0.6369
449,0.6588
450,0.6238
451,0.6623
452,0.6753
453,0.6497
454,0.642
455,0.6457
456,0.6377
457,0.6586
458,0.6562
459,0.6432
460,0.648
461,0.6591
462,0.6476
463,0.6314
464,0.6304
465,0.6591
466,0.6397
467,0.6356
468,0.679
469,0.5866
470,0.6376
471,0.62
472,0.6555
473,0.6064
474,0.6217
475,0.5953
476,0.6299
477,0.6421
478,0.6409
479,0.6825
480,0.623
481,0.486
482,0.6635
483,0.6305
484,0.6804
485,0.6255
486,0.5876
487,0.6411
488,0.6137
489,0.6476
490,0.6533
491,0.6572
492,0.6612
493,0.6413
494,0.6279
495,0.6833
496,0.6532
497,0.6447
498,0.6198
499,0.6393
500,0.6219
501,0.6346
502,0.6476
503,0.6313
504,0.637
505,0.6733
506,0.656
507,0.6597
508,0.6785
509,0.6563
510,0.6194
511,0.659
512,0.6604
513,0.61
514,0.6416
515,0.6416
516,0.6423
517,0.612
518,0.6206
519,0.6845
520,0.5959
521,0.6546
522,0.5995
523,0.6523
524,0.6434
525,0.6771
526,0.6703
527,0.601
528,0.6978
529,0.6557
530,0.6247
531,0.6345
532,0.6545
533,0.6325
534,0.6418
535,0.6276
536,0.6348
537,0.6172
538,0.5678
539,0.6635
540,0.6853
541,0.6773
542,0.6505
543,0.658
544,0.6069
545,0.6401
546,0.6377
547,0.6953
548,0.6419
549,0.5976
550,0.6459
551,0.653
552,0.5446
553,0.6548
554,0.657
555,0.6399
556,0.6322
557,0.5922
558,0.6353
559,0.6283
560,0.6621
561,0.646
562,0.6316
563,0.6553
564,0.6294
565,0.6563
566,0.6476
567,0.6243
568,0.5944
569,0.6465
570,0.6067
571,0.6809
572,0.6767
573,0.6433
574,0.6651
575,0.6554
576,0.6258
577,0.6293
578,0.6279
579,0.6536
580,0.6867
581,0.671
582,0.6679
583,0.6473
584,0.6313
585,0.6685
586,0.5849
587,0.676
588,0.6574
589,0.6536
590,0.6365
591,0.6412
592,0.6477
593,0.644
594,0.6205
595,0.6642
596,0.6355
597,0.6905
598,0.6306
599,0.6764
600,0.6129
601,0.6071
602,0.6212
603,0.6355
604,0.6808
605,0.6527
606,0.6622
607,0.6195
608,0.6364
609,0.6733
610,0.7059
611,0.607
612,0.6471
613,0.6403
614,0.6248
615,0.6354
616,0.6665
617,0.6393
618,0.6708
619,0.6825
620,0.6255
621,0.6163
622,0.649
623,0.6264
624,0.6586
625,0.6571
626,0.6424
627,0.6635
628,0.6595
629,0.6575
630,0.6682
631,0.6284
632,0.6469
633,0.6566
634,0.5923
635,0.6398
636,0.6543
637,0.6356
638,0.6562
639,0.6022
640,0.6894
641,0.6585
642,0.677
643,0.6761
644,0.6593
645,0.588
646,0.624
647,0.6504
648,0.6302
649,0.6661
650,0.6439
651,0.6297
652,0.6477
653,0.6186
654,0.5508
655,0.6262
656,0.6405
657,0.647
658,0.6346
659,0.6555
660,0.6289
661,0.6495
662,0.6538
663,0.6207
664,0.6369
665,0.6173
666,0.588
667,0.6433
668,0.6502
669,0.6626
670,0.6473
671,0.6423
672,0.6531
673,0.6348
674,0.6316
675,0.6584
676,0.6302
677,0.6645
678,0.6295
679,0.6294
680,0.6142
681,0.6101
682,0.6674
683,0.634
684,0.6621
685,0.6314
686,0.6428
687,0.6357
688,0.7073
689,0.6994
690,0.6701
691,0.6252
692,0.5725
693,0.6403
694,0.687
695,0.6235
696,0.6495
697,0.6475
698,0.6173
699,0.6643
700,0.6445
701,0.6542
702,0.6288
703,0.6287
704,0.6316
705,0.6652
706,0.6766
707,0.6806
708,0.6638
709,0.6614
710,0.6735
711,0.6613
712,0.6392
713,0.6854
714,0.6335
715,0.6434
716,0.6623
717,0.6513
718,0.5956
719,0.614
720,0.6383
721,0.6452
722,0.6512
723,0.6471
724,0.6296
725,0.6637
726,0.636
727,0.6363
728,0.6423
729,0.6561
730,0.6624
731,0.631
732,0.6755
733,0.6107
734,0.6405
735,0.6478
736,0.6309
737,0.6514
738,0.6875
739,0.6231
740,0.6234
741,0.6101
742,0.6775
743,0.6543
744,0.6569
745,0.6849
746,0.6416
747,0.6235
