,atds
0,0.5424
1,0.5395
2,0.5234
3,0.4655
4,0.5537
5,0.5713
6,0.4905
7,0.5939
8,0.5057
9,0.5929
10,0.4708
11,0.5862
12,0.5901
13,0.5178
14,0.5135
15,0.5349
16,0.6074
17,0.6673
18,0.6135
19,0.4976
20,0.5183
21,0.5202
22,0.5335
23,0.5965
24,0.5946
25,0.4897
26,0.6047
27,0.5788
28,0.6138
29,0.5523
30,0.5967
31,0.5871
32,0.4981
33,0.5852
34,0.5501
35,0.6149
36,0.5588
37,0.5933
38,0.5918
39,0.6041
40,0.5857
41,0.5625
42,0.4531
43,0.558
44,0.527
45,0.5214
46,0.595
47,0.5155
48,0.5598
49,0.5111
50,0.5188
51,0.6133
52,0.5837
53,0.5305
54,0.5709
55,0.5978
56,0.6068
57,0.5399
58,0.5833
59,0.4789
60,0.5347
61,0.5755
62,0.5435
63,0.5693
64,0.5768
65,0.5627
66,0.431
67,0.5168
68,0.4743
69,0.5718
70,0.5538
71,0.5943
72,0.5799
73,0.6748
74,0.5799
75,0.6088
76,0.5523
77,0.4933
78,0.5957
79,0.5793
80,0.5262
81,0.6335
82,0.5024
83,0.6124
84,0.5847
85,0.5283
86,0.4587
87,0.5443
88,0.5817
89,0.5986
90,0.4811
91,0.5153
92,0.5065
93,0.4956
94,0.5144
95,0.5275
96,0.5554
97,0.538
98,0.5447
99,0.5813
100,0.5104
101,0.5445
102,0.6098
103,0.6191
104,0.5386
105,0.5756
106,0.6202
107,0.5745
108,0.5653
109,0.5713
110,0.5198
111,0.5865
112,0.5254
113,0.5155
114,0.5488
115,0.5357
116,0.5522
117,0.5637
118,0.5324
119,0.5453
120,0.463
121,0.5509
122,0.579
123,0.5143
124,0.4434
125,0.5604
126,0.5597
127,0.5862
128,0.601
129,0.5279
130,0.6115
131,0.5863
132,0.5616
133,0.5342
134,0.5777
135,0.5516
136,0.5462
137,0.5914
138,0.5464
139,0.5074
140,0.5423
141,0.5396
142,0.5269
143,0.5214
144,0.5241
145,0.5779
146,0.4601
147,0.562
148,0.3961
149,0.5778
150,0.6286
151,0.5477
152,0.6271
153,0.556
154,0.5948
155,0.6032
156,0.5955
157,0.5946
158,0.5596
159,0.5782
160,0.6247
161,0.6249
162,0.5191
163,0.605
164,0.5625
165,0.5491
166,0.5045
167,0.5744
168,0.5901
169,0.5912
170,0.6178
171,0.5254
172,0.5828
173,0.5895
174,0.4884
175,0.6235
176,0.5741
177,0.576
178,0.5704
179,0.5691
180,0.5691
181,0.6005
182,0.6034
183,0.465
184,0.5332
185,0.5849
186,0.5659
187,0.557
188,0.4221
189,0.5392
190,0.5677
191,0.6033
192,0.5106
193,0.5644
194,0.591
195,0.5447
196,0.522
197,0.5629
198,0.5886
199,0.5754
200,0.6181
201,0.6106
202,0.5354
203,0.6288
204,0.5756
205,0.5596
206,0.5419
207,0.5481
208,0.5043
209,0.5743
210,0.5568
211,0.5429
212,0.6212
213,0.5508
214,0.6026
215,0.5744
216,0.5552
217,0.5584
218,0.5758
219,0.6038
220,0.5943
221,0.5302
222,0.6333
223,0.5451
224,0.522
225,0.5456
226,0.5363
227,0.5227
228,0.5247
229,0.5201
230,0.5571
