,atds
0,0.6269
1,0.5308
2,0.5923
3,0.5831
4,0.5134
5,0.5912
6,0.5507
7,0.5324
8,0.5348
9,0.5347
10,0.5743
11,0.5753
12,0.5517
13,0.4697
14,0.506
15,0.5834
16,0.5761
17,0.5324
18,0.5371
19,0.5587
20,0.4552
21,0.3699
22,0.535
23,0.3548
24,0.5476
25,0.5939
26,0.5746
27,0.6047
28,0.5571
29,0.5249
30,0.5087
31,0.5865
32,0.6107
33,0.5198
34,0.6035
35,0.561
36,0.5391
37,0.4834
38,0.589
39,0.5409
40,0.5979
41,0.5885
42,0.5233
43,0.5298
44,0.5164
45,0.571
46,0.5182
47,0.5691
48,0.5351
49,0.5586
50,0.494
51,0.5822
52,0.5708
53,0.5676
54,0.5711
55,0.5985
56,0.464
57,0.6189
58,0.5945
59,0.5373
60,0.5213
61,0.5843
62,0.5865
63,0.4881
64,0.484
65,0.5644
66,0.6123
67,0.5351
68,0.5843
69,0.5438
70,0.627
71,0.5656
72,0.5979
73,0.5727
74,0.5448
75,0.5309
76,0.4998
77,0.5607
78,0.5651
79,0.5738
80,0.6112
81,0.5564
82,0.4972
83,0.5451
84,0.563
85,0.602
86,0.559
87,0.6022
88,0.5839
89,0.5597
90,0.5558
91,0.5818
92,0.5783
93,0.5553
94,0.4794
95,0.5606
96,0.5336
97,0.5611
98,0.5672
99,0.5736
100,0.5965
101,0.5387
102,0.5585
103,0.5569
104,0.5987
105,0.569
106,0.4951
107,0.5594
108,0.5321
109,0.494
110,0.5548
111,0.6102
112,0.5046
113,0.5211
114,0.5462
115,0.5786
116,0.5202
117,0.5758
118,0.5324
119,0.5711
120,0.5574
121,0.5752
122,0.4836
123,0.5667
124,0.5604
125,0.5027
126,0.5631
127,0.5556
128,0.5595
129,0.6127
130,0.5628
131,0.5895
132,0.5422
133,0.5853
134,0.575
135,0.5307
136,0.565
137,0.4699
138,0.6146
139,0.6153
140,0.4945
141,0.5507
142,0.5483
143,0.5553
144,0.531
145,0.5937
146,0.5365
147,0.5842
148,0.6057
149,0.5749
150,0.5801
151,0.5639
152,0.6337
153,0.5244
154,0.5318
155,0.5561
156,0.5249
157,0.5306
158,0.5505
159,0.5326
160,0.6049
161,0.5644
162,0.5334
163,0.5468
164,0.5811
165,0.5288
166,0.5765
167,0.624
168,0.5771
169,0.552
170,0.5238
171,0.55
172,0.5197
173,0.5755
174,0.5934
175,0.5459
176,0.5981
177,0.5502
