,atds
0,0.7036
1,0.6516
2,0.6668
3,0.6869
4,0.6445
5,0.6731
6,0.664
7,0.6571
8,0.6348
9,0.6529
10,0.6653
11,0.6647
12,0.6684
13,0.6224
14,0.6273
15,0.669
16,0.6723
17,0.6669
18,0.651
19,0.6523
20,0.6076
21,0.5365
22,0.6441
23,0.5222
24,0.6605
25,0.6837
26,0.6663
27,0.6851
28,0.6689
29,0.6555
30,0.6425
31,0.6765
32,0.6922
33,0.6503
34,0.6942
35,0.6715
36,0.6552
37,0.6279
38,0.6771
39,0.6602
40,0.6836
41,0.6864
42,0.6489
43,0.6517
44,0.648
45,0.6681
46,0.6362
47,0.6687
48,0.6567
49,0.6669
50,0.6337
51,0.6747
52,0.6675
53,0.6794
54,0.6767
55,0.6895
56,0.6127
57,0.6922
58,0.6747
59,0.6438
60,0.6392
61,0.676
62,0.6808
63,0.63
64,0.6246
65,0.6735
66,0.6882
67,0.6563
68,0.6724
69,0.6398
70,0.7078
71,0.6628
72,0.6816
73,0.6808
74,0.6611
75,0.6452
76,0.6379
77,0.6624
78,0.6675
79,0.6793
80,0.6903
81,0.6626
82,0.6481
83,0.6446
84,0.6595
85,0.6888
86,0.6656
87,0.6946
88,0.6904
89,0.6654
90,0.6624
91,0.6792
92,0.6656
93,0.6509
94,0.6183
95,0.6595
96,0.6513
97,0.6575
98,0.666
99,0.6611
100,0.6999
101,0.6614
102,0.6577
103,0.6677
104,0.6712
105,0.6689
106,0.6309
107,0.6673
108,0.6564
109,0.6298
110,0.6259
111,0.6893
112,0.6378
113,0.6532
114,0.6554
115,0.6712
116,0.6454
117,0.6755
118,0.6618
119,0.6787
120,0.6719
121,0.665
122,0.6231
123,0.6483
124,0.6721
125,0.6438
126,0.6734
127,0.6603
128,0.665
129,0.6817
130,0.6576
131,0.6564
132,0.6581
133,0.6943
134,0.6726
135,0.6494
136,0.6633
137,0.609
138,0.6987
139,0.6888
140,0.6294
141,0.651
142,0.6569
143,0.6566
144,0.6565
145,0.6887
146,0.6502
147,0.6738
148,0.6832
149,0.6834
150,0.6731
151,0.6549
152,0.6947
153,0.658
154,0.6563
155,0.6624
156,0.6372
157,0.6422
158,0.6643
159,0.6481
160,0.6977
161,0.6661
162,0.658
163,0.6557
164,0.6749
165,0.6434
166,0.659
167,0.6938
168,0.6722
169,0.6488
170,0.6503
171,0.6627
172,0.6511
173,0.6637
174,0.6779
175,0.6484
176,0.6959
177,0.6597
178,0.6675
179,0.6587
180,0.6251
181,0.6385
182,0.6719
183,0.6701
184,0.6703
185,0.688
186,0.6227
187,0.6649
188,0.6658
189,0.675
190,0.6289
191,0.6783
192,0.6635
193,0.6498
194,0.6428
195,0.6684
196,0.6856
197,0.6598
198,0.6676
199,0.6916
200,0.6544
201,0.613
202,0.6794
203,0.6844
204,0.666
205,0.6644
206,0.6439
207,0.6772
208,0.6939
209,0.6908
210,0.6703
211,0.6206
212,0.6695
213,0.6865
214,0.6812
215,0.6142
216,0.6574
217,0.6342
218,0.658
219,0.5863
220,0.6752
221,0.6405
222,0.6771
223,0.678
224,0.6617
225,0.6843
226,0.6373
227,0.6671
228,0.6283
229,0.6647
230,0.6612
231,0.6488
232,0.6811
233,0.6671
234,0.6704
235,0.6517
236,0.6596
237,0.6809
238,0.671
239,0.6367
240,0.6629
241,0.6105
242,0.6739
243,0.6917
244,0.6546
245,0.6747
246,0.676
247,0.6447
248,0.666
249,0.6619
250,0.657
251,0.6742
252,0.6341
253,0.6792
254,0.6504
255,0.6967
256,0.6363
257,0.6841
258,0.6371
259,0.6651
260,0.6699
261,0.6998
262,0.7042
263,0.6832
264,0.664
265,0.6553
266,0.6396
267,0.668
268,0.6864
269,0.6811
270,0.6939
271,0.684
272,0.6694
273,0.6394
274,0.6698
275,0.6855
276,0.6596
277,0.6321
278,0.6593
279,0.6838
280,0.6426
281,0.5314
282,0.6602
283,0.6347
284,0.6854
285,0.6446
286,0.6593
