,atds
0,0.5647
1,0.5583
2,0.526
3,0.5799
4,0.5774
5,0.549
6,0.6063
7,0.5802
8,0.4496
9,0.5777
10,0.6056
11,0.5463
12,0.5926
13,0.5755
14,0.5607
15,0.5238
16,0.5703
17,0.6235
18,0.5599
19,0.5671
20,0.5783
21,0.608
22,0.6082
23,0.5694
24,0.4709
25,0.615
26,0.556
27,0.5769
28,0.5287
29,0.5296
30,0.5759
31,0.5214
32,0.5857
33,0.5952
34,0.5324
35,0.5243
36,0.52
37,0.4921
38,0.5441
39,0.5762
40,0.648
41,0.5247
42,0.5405
43,0.5779
44,0.5801
45,0.5734
46,0.5464
47,0.5281
48,0.5511
49,0.4892
50,0.5894
51,0.5487
52,0.5958
53,0.5247
54,0.5399
55,0.5065
56,0.6123
57,0.6203
58,0.5722
59,0.5456
60,0.5753
61,0.5791
62,0.4804
63,0.603
64,0.5719
65,0.5765
66,0.5809
67,0.5307
68,0.5742
69,0.5911
70,0.3908
71,0.4293
72,0.5137
73,0.5484
74,0.453
75,0.5073
76,0.534
77,0.5588
78,0.5442
79,0.545
80,0.4811
81,0.567
82,0.5439
83,0.5163
84,0.5585
85,0.4959
86,0.6028
87,0.499
88,0.5762
89,0.5294
90,0.5668
91,0.5239
92,0.5524
93,0.6169
94,0.479
95,0.5732
96,0.6333
97,0.6164
98,0.5864
99,0.5608
100,0.5046
101,0.5804
102,0.6103
103,0.5091
104,0.5997
105,0.5358
106,0.5215
107,0.5063
108,0.6041
109,0.5671
110,0.5902
111,0.605
112,0.5458
113,0.5969
114,0.5604
115,0.5919
116,0.5285
117,0.4427
118,0.5683
119,0.5676
120,0.5474
121,0.5668
122,0.6018
123,0.5573
124,0.5583
125,0.5689
126,0.5686
127,0.5277
128,0.4865
129,0.6157
130,0.533
131,0.5403
132,0.5116
133,0.4855
134,0.588
135,0.5211
136,0.5463
137,0.5597
138,0.5466
139,0.5601
140,0.5604
141,0.5302
142,0.5158
143,0.5678
144,0.5303
145,0.5428
146,0.5942
147,0.5501
148,0.5118
149,0.5205
150,0.5206
151,0.579
152,0.5292
153,0.5993
154,0.6335
155,0.5739
156,0.5187
157,0.5418
158,0.502
159,0.5374
160,0.5759
161,0.5744
162,0.5483
163,0.5824
164,0.5136
165,0.5361
166,0.6028
167,0.5292
168,0.5405
169,0.4982
170,0.6032
171,0.6077
172,0.5654
173,0.592
174,0.5205
175,0.5488
176,0.5633
177,0.6043
178,0.5274
179,0.5803
180,0.5912
181,0.4904
182,0.6012
183,0.5386
184,0.5722
185,0.5388
186,0.6041
187,0.5963
188,0.5943
189,0.525
190,0.5629
191,0.5254
192,0.5082
193,0.5533
194,0.4923
195,0.5234
196,0.5978
197,0.5711
198,0.5423
199,0.554
200,0.6147
201,0.564
202,0.4794
203,0.521
204,0.5944
205,0.4733
206,0.5829
207,0.5771
208,0.587
209,0.5346
210,0.4949
211,0.5629
212,0.5625
213,0.5878
214,0.4896
215,0.4993
216,0.599
217,0.5314
218,0.5064
219,0.6338
220,0.6287
221,0.5641
222,0.5998
223,0.4666
224,0.515
225,0.5686
226,0.5375
227,0.5633
228,0.5271
229,0.5861
230,0.5265
231,0.5117
232,0.5545
233,0.5759
234,0.541
235,0.6089
236,0.5824
237,0.5736
238,0.5799
239,0.5402
240,0.5812
241,0.5609
242,0.5447
243,0.5868
244,0.5343
245,0.551
246,0.562
247,0.5686
248,0.5682
249,0.5315
250,0.561
251,0.5626
252,0.6174
253,0.5499
254,0.5813
255,0.5623
256,0.5905
257,0.5856
258,0.5966
259,0.606
260,0.5182
261,0.5055
262,0.6327
263,0.5507
264,0.5503
265,0.6046
266,0.551
267,0.6067
268,0.5338
269,0.591
270,0.5337
271,0.5425
272,0.5891
273,0.5707
274,0.5822
275,0.3657
276,0.5914
277,0.5328
278,0.5972
279,0.5831
280,0.5748
281,0.5098
282,0.6021
283,0.544
284,0.4831
285,0.5253
286,0.4768
287,0.503
288,0.5805
289,0.5309
290,0.5624
291,0.5286
292,0.4623
293,0.5083
294,0.6152
295,0.4478
296,0.498
297,0.5864
298,0.595
299,0.4319
300,0.5123
301,0.527
302,0.5864
303,0.4859
304,0.4939
305,0.5523
306,0.5752
307,0.5997
308,0.5471
309,0.5579
310,0.4949
311,0.6047
