,atds
0,0.6027
1,0.4838
2,0.5192
3,0.5958
4,0.6076
5,0.582
6,0.4845
7,0.5506
8,0.6126
9,0.5417
10,0.5303
11,0.4837
12,0.5314
13,0.5229
14,0.537
15,0.5687
16,0.5633
17,0.5902
18,0.597
19,0.5818
20,0.5559
21,0.5552
22,0.5565
23,0.5084
24,0.5851
25,0.5656
26,0.5435
27,0.5625
28,0.5694
29,0.5334
30,0.531
31,0.4899
32,0.5815
33,0.5475
34,0.5093
35,0.5472
36,0.5939
37,0.5742
38,0.5664
39,0.5126
40,0.5532
41,0.5199
42,0.566
43,0.5343
44,0.6123
45,0.5678
46,0.5033
47,0.5202
48,0.5492
49,0.5719
50,0.5573
51,0.4943
52,0.5383
53,0.5817
54,0.5351
55,0.4325
56,0.4557
57,0.5232
58,0.5426
59,0.5695
60,0.5312
61,0.5847
62,0.5915
63,0.5621
64,0.5319
65,0.5625
66,0.552
67,0.572
68,0.4954
69,0.5581
70,0.5937
71,0.5651
72,0.6002
73,0.5229
74,0.5277
75,0.5895
76,0.5804
77,0.5898
78,0.5013
79,0.5801
80,0.5581
81,0.58
82,0.5647
83,0.5448
84,0.5718
85,0.5555
86,0.5483
87,0.5546
88,0.5363
89,0.5623
90,0.5842
91,0.5315
92,0.5258
93,0.5387
94,0.6021
95,0.5562
96,0.5975
97,0.5366
98,0.5787
99,0.5383
100,0.5038
101,0.5397
102,0.6001
103,0.546
104,0.5702
105,0.5916
106,0.4868
107,0.532
108,0.5866
109,0.5358
110,0.5679
111,0.5755
112,0.5068
113,0.5487
114,0.5802
115,0.5394
116,0.525
117,0.5659
118,0.5455
119,0.5538
120,0.5853
121,0.5434
122,0.5612
123,0.5561
124,0.5774
125,0.58
126,0.5326
127,0.5437
128,0.5868
129,0.5847
130,0.4852
131,0.5917
132,0.6012
133,0.5984
134,0.5006
135,0.5913
136,0.5783
137,0.5383
138,0.5047
139,0.5883
140,0.5989
141,0.5618
142,0.591
143,0.5133
144,0.5756
145,0.5201
146,0.6013
147,0.5873
148,0.572
149,0.5552
150,0.5427
151,0.5397
152,0.5167
153,0.5124
154,0.5581
155,0.5412
156,0.5097
157,0.5044
158,0.5486
159,0.6243
160,0.553
161,0.5293
162,0.5564
163,0.6179
164,0.5633
165,0.6017
166,0.5064
167,0.5131
168,0.5299
169,0.5806
170,0.5476
171,0.5645
172,0.6146
173,0.6139
174,0.6129
175,0.5285
176,0.5892
177,0.5149
178,0.5583
179,0.5008
180,0.4913
181,0.5316
182,0.5893
183,0.5755
184,0.5558
185,0.5863
186,0.5019
187,0.5465
188,0.5752
189,0.5414
190,0.5574
191,0.5413
192,0.5654
193,0.5547
194,0.5822
195,0.6111
196,0.5818
197,0.5746
198,0.5914
199,0.5561
200,0.4704
201,0.5673
202,0.4993
203,0.5739
204,0.5557
205,0.5433
206,0.5095
207,0.5066
208,0.5541
209,0.4999
210,0.5048
211,0.5208
212,0.573
213,0.5583
214,0.5429
215,0.5267
216,0.5643
217,0.5039
218,0.5351
219,0.5489
220,0.596
221,0.5448
222,0.5649
223,0.5407
224,0.5724
225,0.5684
226,0.5376
227,0.5318
228,0.6445
229,0.5507
230,0.4816
231,0.579
232,0.4732
233,0.549
234,0.6036
235,0.4647
236,0.6032
237,0.4759
238,0.5981
239,0.5687
240,0.5398
241,0.5674
242,0.6144
243,0.5049
244,0.517
245,0.5743
246,0.5586
247,0.6085
248,0.5542
249,0.5064
250,0.5359
251,0.5939
252,0.6383
253,0.5357
254,0.5564
255,0.5457
256,0.5957
257,0.62
258,0.5154
259,0.5349
260,0.5434
261,0.5561
262,0.5947
263,0.5832
264,0.5909
265,0.575
266,0.5484
