,atds
0,0.5656
1,0.5699
2,0.5417
3,0.5124
4,0.549
5,0.5202
6,0.5321
7,0.5305
8,0.5124
9,0.5124
10,0.5996
11,0.5124
12,0.5124
13,0.5515
14,0.5791
15,0.5399
16,0.5124
17,0.533
18,0.5124
19,0.5124
20,0.5124
21,0.5221
22,0.5177
23,0.5897
24,0.5744
25,0.5816
26,0.5124
27,0.5673
28,0.5571
29,0.5781
30,0.5124
31,0.5124
32,0.5287
33,0.5803
34,0.5124
35,0.6182
36,0.5124
37,0.5389
38,0.5124
39,0.5195
40,0.5262
41,0.5603
42,0.5124
43,0.5162
44,0.5124
45,0.5365
46,0.5776
47,0.5124
48,0.5124
49,0.5124
50,0.5124
51,0.5421
52,0.5124
53,0.5181
54,0.5233
55,0.5378
56,0.5124
57,0.5178
58,0.5851
59,0.5124
60,0.5343
61,0.563
62,0.5124
63,0.5124
64,0.5124
65,0.5124
66,0.5124
67,0.5124
68,0.5582
69,0.5124
70,0.5339
71,0.5333
72,0.5339
73,0.5497
74,0.5825
75,0.5509
76,0.5124
77,0.6111
78,0.5124
79,0.5124
80,0.5124
81,0.6069
82,0.5336
83,0.5269
84,0.5631
85,0.5733
86,0.5221
87,0.5124
88,0.5124
89,0.5417
90,0.5762
91,0.5124
92,0.565
93,0.5853
94,0.519
95,0.5124
96,0.5124
97,0.5124
98,0.5353
99,0.5124
100,0.5389
101,0.5445
102,0.5913
103,0.579
104,0.5253
105,0.5199
106,0.513
107,0.5124
108,0.5124
109,0.541
110,0.5124
111,0.5423
112,0.5124
113,0.5406
114,0.562
115,0.5124
116,0.5124
117,0.5565
118,0.5124
119,0.5835
120,0.5303
121,0.5147
122,0.5124
123,0.5124
124,0.5124
125,0.5189
126,0.5124
127,0.5219
128,0.5149
129,0.5684
130,0.5379
131,0.5124
132,0.5124
133,0.5671
134,0.5124
135,0.5124
136,0.5165
137,0.539
138,0.5124
139,0.5327
140,0.524
141,0.5124
142,0.5124
143,0.5141
144,0.5239
145,0.5326
146,0.5124
147,0.5325
148,0.516
149,0.5124
150,0.5124
151,0.5167
152,0.5646
153,0.5567
154,0.5124
155,0.5124
156,0.5197
157,0.5124
158,0.5124
159,0.533
160,0.5507
161,0.5335
162,0.5124
163,0.5342
164,0.5124
165,0.5124
166,0.5124
167,0.5124
168,0.5305
169,0.5139
170,0.5124
171,0.5124
172,0.5311
173,0.5413
174,0.5388
175,0.5124
176,0.5501
177,0.5404
178,0.5284
179,0.5392
180,0.5124
181,0.5124
182,0.5124
183,0.5734
184,0.5487
185,0.5124
186,0.5751
187,0.5124
188,0.5124
189,0.6106
190,0.5124
191,0.5714
192,0.5124
193,0.5124
194,0.5124
195,0.5124
196,0.5124
197,0.5124
198,0.5124
199,0.5124
200,0.5151
201,0.537
202,0.5245
203,0.5691
204,0.5617
205,0.5846
206,0.53
207,0.5124
208,0.5453
209,0.5369
210,0.5124
211,0.5191
212,0.5124
213,0.5124
214,0.5124
215,0.523
216,0.5342
217,0.5124
218,0.5124
219,0.585
220,0.5124
221,0.5571
222,0.5124
223,0.5124
224,0.5124
225,0.5542
226,0.5124
