,atds
0,0.5165
1,0.5188
2,0.5815
3,0.621
4,0.5754
5,0.5215
6,0.5819
7,0.5188
8,0.4972
9,0.4374
10,0.5453
11,0.5927
12,0.5109
13,0.6198
14,0.4082
15,0.5051
16,0.5381
17,0.537
18,0.594
19,0.5608
20,0.5882
21,0.5524
22,0.55
23,0.5369
24,0.5917
25,0.5502
26,0.5645
27,0.5999
28,0.5263
29,0.4997
30,0.5379
31,0.5475
32,0.5864
33,0.5415
34,0.5763
35,0.5639
36,0.5545
37,0.5234
38,0.5386
39,0.5875
40,0.4096
41,0.3979
42,0.5164
43,0.5668
44,0.5648
45,0.521
46,0.5416
47,0.5702
48,0.5468
49,0.5283
50,0.537
51,0.574
52,0.6051
53,0.5549
54,0.569
55,0.5496
56,0.5623
57,0.5396
58,0.5864
59,0.5908
60,0.6213
61,0.497
62,0.6167
63,0.5726
64,0.538
65,0.5823
66,0.5757
67,0.594
68,0.5437
69,0.4659
70,0.5539
71,0.5499
72,0.5488
73,0.5759
74,0.5738
75,0.5929
76,0.4803
77,0.5316
78,0.5831
79,0.5565
80,0.5361
81,0.5402
82,0.4848
83,0.5014
84,0.6136
85,0.5447
86,0.5577
87,0.558
88,0.5379
89,0.5279
90,0.5399
91,0.4959
92,0.5293
93,0.5299
94,0.4949
95,0.5699
96,0.5098
97,0.5688
98,0.5575
99,0.528
100,0.5404
101,0.5426
102,0.6065
103,0.5714
104,0.5389
105,0.5514
106,0.5988
107,0.5192
108,0.5438
109,0.5778
110,0.585
111,0.4571
112,0.5531
113,0.5175
114,0.5543
115,0.5991
116,0.465
117,0.525
118,0.5442
119,0.5599
120,0.5711
121,0.5948
122,0.5687
123,0.5562
124,0.5439
125,0.5387
126,0.5616
127,0.533
128,0.5749
129,0.5649
130,0.622
131,0.5724
132,0.4729
133,0.487
134,0.6336
135,0.5794
136,0.5286
137,0.5623
138,0.5569
139,0.5924
140,0.5595
141,0.5701
142,0.5544
143,0.5682
144,0.5362
145,0.5649
146,0.5952
147,0.5955
148,0.5267
149,0.621
150,0.3994
151,0.5721
152,0.4338
153,0.5664
154,0.5678
155,0.5203
156,0.5202
157,0.5618
158,0.5807
159,0.5487
160,0.5609
161,0.4786
162,0.5448
163,0.5669
164,0.506
165,0.4714
166,0.5217
167,0.5471
168,0.5641
169,0.546
170,0.5558
171,0.577
172,0.5763
173,0.5789
174,0.5503
175,0.5459
176,0.5728
177,0.6317
178,0.5498
179,0.5799
180,0.5535
181,0.6354
182,0.5701
183,0.5941
184,0.5647
185,0.5929
186,0.4954
187,0.5431
188,0.5853
189,0.5634
190,0.5288
191,0.566
192,0.5844
193,0.541
194,0.5835
195,0.566
196,0.5849
197,0.5635
198,0.5199
199,0.5715
200,0.5033
201,0.5464
202,0.5504
203,0.5553
204,0.5462
205,0.5542
206,0.5171
207,0.5658
208,0.5851
209,0.6069
210,0.4988
211,0.4557
212,0.516
213,0.5786
214,0.6104
215,0.5205
216,0.5108
217,0.4968
218,0.5499
219,0.4561
220,0.5646
221,0.579
222,0.57
223,0.5418
224,0.5464
225,0.4512
226,0.4675
227,0.6136
228,0.522
229,0.5487
230,0.5317
231,0.5013
232,0.5765
233,0.4937
234,0.4846
235,0.5392
236,0.5901
237,0.5069
238,0.5052
239,0.5772
240,0.5746
241,0.6286
242,0.5807
243,0.5752
244,0.5734
245,0.5506
246,0.5717
247,0.5678
248,0.4792
249,0.539
250,0.5334
251,0.4743
252,0.5241
253,0.4947
254,0.5815
255,0.52
256,0.492
257,0.5696
258,0.514
259,0.5668
260,0.5542
261,0.5926
262,0.5742
263,0.5154
264,0.5208
265,0.5672
266,0.4906
267,0.5198
268,0.5848
269,0.5177
270,0.5676
271,0.5788
272,0.5743
273,0.5398
274,0.5548
275,0.5641
276,0.5838
277,0.5623
278,0.5096
279,0.6092
280,0.5538
281,0.5651
282,0.5758
283,0.5827
284,0.5232
285,0.5398
286,0.4831
287,0.5245
288,0.5683
289,0.4827
290,0.5123
291,0.588
292,0.5572
293,0.5714
294,0.5049
295,0.5386
296,0.5127
297,0.6111
298,0.5556
299,0.5722
300,0.603
301,0.5308
302,0.5194
303,0.6146
304,0.5355
305,0.4969
306,0.5285
307,0.5943
308,0.558
309,0.5859
310,0.5534
311,0.4965
312,0.5485
313,0.5732
314,0.5517
315,0.5165
316,0.5066
317,0.5498
318,0.5708
319,0.5319
320,0.5496
321,0.5571
322,0.6037
323,0.4671
324,0.5556
325,0.5687
326,0.5229
327,0.5678
328,0.5703
329,0.5785
330,0.5727
331,0.5567
332,0.5534
333,0.569
334,0.4964
335,0.5991
336,0.4856
337,0.5992
338,0.5132
339,0.6225
340,0.5577
341,0.5035
342,0.5405
343,0.5693
344,0.584
345,0.5306
346,0.6178
347,0.5208
348,0.5471
349,0.5026
350,0.5497
351,0.3931
352,0.4476
353,0.5195
354,0.5536
355,0.5156
356,0.5849
357,0.5766
358,0.5412
359,0.5592
360,0.4342
361,0.5534
362,0.5438
363,0.6023
364,0.5268
365,0.5771
366,0.5669
367,0.5241
368,0.5875
369,0.5549
370,0.5649
371,0.5657
372,0.5619
373,0.5486
374,0.4978
375,0.5434
376,0.5372
377,0.5525
378,0.5566
379,0.5358
380,0.5665
381,0.4121
382,0.4738
383,0.6225
384,0.6024
385,0.5409
386,0.6277
387,0.5473
388,0.597
389,0.5436
390,0.5968
391,0.6132
392,0.5931
393,0.5473
394,0.5733
395,0.502
396,0.552
397,0.5427
398,0.5728
399,0.5053
400,0.5101
401,0.5554
402,0.606
403,0.5585
404,0.5466
405,0.56
406,0.577
407,0.5601
408,0.5978
409,0.5544
410,0.5751
