,atds
0,0.5173
1,0.54
2,0.5718
3,0.5764
4,0.5265
5,0.5585
6,0.5213
7,0.6071
8,0.5585
9,0.489
10,0.5559
11,0.5632
12,0.5317
13,0.5958
14,0.5826
15,0.5861
16,0.5382
17,0.5725
18,0.5447
19,0.5769
20,0.579
21,0.4386
22,0.5356
23,0.4112
24,0.5288
25,0.5931
26,0.547
27,0.6059
28,0.5164
29,0.5008
30,0.5644
31,0.4952
32,0.5923
33,0.5632
34,0.5717
35,0.5125
36,0.5587
37,0.5739
38,0.2768
39,0.5175
40,0.5602
41,0.5786
42,0.5265
43,0.5419
44,0.5132
45,0.5587
46,0.5575
47,0.5345
48,0.5693
49,0.5455
50,0.5592
51,0.5642
52,0.4957
53,0.5279
54,0.5684
55,0.5411
56,0.6373
57,0.6058
58,0.5275
59,0.5722
60,0.5679
61,0.477
62,0.5912
63,0.5946
64,0.5474
65,0.6033
66,0.5285
67,0.4882
68,0.4649
69,0.5054
70,0.4905
71,0.5159
72,0.5858
73,0.516
74,0.5544
75,0.5695
76,0.5054
77,0.5183
78,0.5346
79,0.5362
80,0.5507
81,0.6108
82,0.6008
83,0.6338
84,0.5347
85,0.5839
86,0.56
87,0.5612
88,0.5593
89,0.5822
90,0.5504
91,0.606
92,0.5507
93,0.5688
94,0.5839
95,0.4678
96,0.5349
97,0.5756
98,0.5077
99,0.5539
100,0.4961
101,0.5652
102,0.5747
103,0.6064
104,0.5649
105,0.6432
106,0.5309
107,0.5221
108,0.6053
109,0.5147
110,0.5673
111,0.5774
112,0.6229
113,0.5409
114,0.6077
115,0.5366
116,0.5082
117,0.6098
118,0.5861
119,0.5366
120,0.5111
121,0.5521
122,0.5199
123,0.5668
124,0.5492
125,0.5773
126,0.4876
127,0.506
128,0.5789
129,0.5046
130,0.4277
131,0.5802
132,0.5495
133,0.5402
134,0.5028
135,0.5011
136,0.5429
137,0.5321
138,0.5246
139,0.5497
140,0.5851
141,0.5327
142,0.5603
143,0.5705
144,0.6082
145,0.5403
146,0.5879
147,0.5174
148,0.5674
149,0.57
150,0.5863
151,0.5893
152,0.5045
153,0.607
154,0.5534
155,0.5536
156,0.4924
157,0.5202
158,0.5976
159,0.5649
160,0.5983
161,0.5389
162,0.5523
163,0.6137
164,0.5288
165,0.5396
166,0.543
167,0.5159
168,0.4585
169,0.5432
170,0.6165
171,0.6473
172,0.5092
173,0.5872
174,0.5674
175,0.56
176,0.5393
177,0.5844
178,0.586
179,0.5589
180,0.5748
181,0.5198
182,0.5177
183,0.4739
184,0.5832
185,0.5789
186,0.5627
187,0.4986
188,0.5537
189,0.5269
190,0.5502
191,0.6273
192,0.5895
193,0.5641
194,0.5628
195,0.5004
196,0.509
197,0.5475
198,0.5429
199,0.5648
200,0.5905
201,0.558
202,0.5629
203,0.5058
204,0.5552
205,0.6237
206,0.473
207,0.5644
208,0.5965
209,0.5926
210,0.4883
211,0.5283
212,0.5491
213,0.5401
214,0.5084
215,0.6064
216,0.5195
217,0.4668
218,0.5924
219,0.395
220,0.5778
221,0.5501
222,0.5201
223,0.5193
224,0.5281
225,0.5126
226,0.5273
227,0.5268
228,0.4704
229,0.4974
230,0.5021
231,0.532
232,0.5455
233,0.5896
234,0.5741
235,0.588
236,0.5839
237,0.5054
238,0.563
239,0.5451
240,0.5709
241,0.4909
242,0.5806
243,0.5382
244,0.512
245,0.5303
246,0.5642
247,0.5874
248,0.6474
249,0.5769
250,0.5388
251,0.5762
252,0.5043
253,0.5138
254,0.5539
255,0.5797
256,0.5404
257,0.5788
258,0.4986
259,0.5503
260,0.5235
261,0.5581
262,0.5267
263,0.5675
264,0.519
265,0.5871
266,0.5979
267,0.5138
268,0.5721
269,0.6033
270,0.6056
271,0.5061
272,0.5144
273,0.5545
274,0.523
275,0.529
276,0.5106
277,0.563
278,0.6132
279,0.5319
280,0.5516
281,0.5407
282,0.5725
283,0.4981
284,0.5382
285,0.5622
286,0.566
287,0.4389
288,0.5471
289,0.5543
290,0.5156
291,0.5504
292,0.5578
293,0.5477
294,0.4643
295,0.4145
296,0.5806
297,0.5231
298,0.5948
299,0.4718
300,0.4831
301,0.5908
302,0.4853
303,0.5411
304,0.5471
305,0.6021
306,0.6114
307,0.5608
308,0.5687
309,0.6043
310,0.5538
311,0.578
312,0.5827
313,0.5152
314,0.4745
315,0.5467
316,0.5591
317,0.5018
318,0.5419
319,0.6002
320,0.5762
321,0.593
322,0.467
323,0.5513
324,0.5686
325,0.5409
326,0.5676
327,0.5806
328,0.568
329,0.5205
330,0.5465
331,0.5504
332,0.5782
333,0.5704
334,0.6329
335,0.5941
336,0.5538
337,0.5274
338,0.5202
339,0.5643
340,0.4121
341,0.5453
342,0.5187
343,0.582
344,0.5863
345,0.5623
346,0.4823
347,0.5715
348,0.5586
349,0.5908
350,0.5538
351,0.5765
352,0.5948
353,0.5448
354,0.575
355,0.582
356,0.4754
357,0.5218
358,0.5462
359,0.5272
360,0.5659
361,0.4736
362,0.5972
363,0.5849
364,0.5999
365,0.529
366,0.5427
367,0.5988
368,0.5046
369,0.584
370,0.6085
371,0.5108
372,0.5322
373,0.5561
374,0.5799
375,0.5418
376,0.5508
377,0.5446
378,0.5307
379,0.4937
380,0.5052
381,0.587
382,0.5718
383,0.5829
384,0.5991
385,0.5348
386,0.5616
387,0.5126
388,0.6089
389,0.5412
390,0.5697
391,0.5539
392,0.493
393,0.5898
394,0.5088
395,0.4801
396,0.5832
397,0.5976
398,0.51
399,0.5498
400,0.5627
401,0.565
402,0.6076
403,0.5764
404,0.5459
405,0.5691
406,0.5776
407,0.5808
408,0.5819
409,0.5542
410,0.5837
411,0.595
412,0.6
413,0.5401
414,0.5367
415,0.5653
416,0.5538
417,0.5652
418,0.5479
419,0.5312
420,0.5127
421,0.5066
422,0.5606
423,0.602
424,0.5768
425,0.5443
426,0.4789
427,0.622
428,0.5651
429,0.5742
430,0.3779
431,0.5486
432,0.6056
433,0.5514
434,0.5475
435,0.5088
436,0.53
437,0.5865
438,0.5627
439,0.5253
440,0.5385
441,0.5447
442,0.5063
443,0.6148
444,0.5802
445,0.4561
446,0.5352
447,0.5698
448,0.5034
449,0.5121
450,0.5464
451,0.5644
452,0.6278
453,0.538
454,0.5019
455,0.5308
456,0.558
457,0.5257
458,0.5131
459,0.4912
460,0.5612
461,0.5665
462,0.5474
463,0.6015
464,0.4787
465,0.5853
466,0.5543
467,0.5531
468,0.5194
469,0.5337
470,0.4889
471,0.5116
472,0.4923
473,0.5916
474,0.5764
475,0.5205
476,0.474
477,0.5804
478,0.5894
479,0.5566
480,0.5282
481,0.5922
482,0.5063
483,0.5841
484,0.5655
485,0.4958
486,0.5226
487,0.5294
488,0.5206
489,0.614
490,0.5946
491,0.558
492,0.5379
493,0.578
494,0.5169
495,0.5448
496,0.5466
497,0.5799
498,0.6058
499,0.5565
500,0.5564
501,0.4903
502,0.5151
503,0.5552
504,0.5071
505,0.5564
506,0.5383
507,0.5628
508,0.5891
509,0.4604
510,0.5565
511,0.5485
512,0.5493
513,0.6049
514,0.5136
515,0.5315
516,0.5556
517,0.5319
518,0.5482
519,0.562
520,0.5044
521,0.5502
522,0.5818
523,0.5325
524,0.566
525,0.5103
526,0.5874
527,0.4198
528,0.5002
529,0.5351
530,0.563
531,0.5105
532,0.5734
533,0.5417
534,0.5181
535,0.5449
536,0.5398
537,0.5498
538,0.5083
539,0.5257
540,0.5364
541,0.5258
542,0.5321
543,0.5894
544,0.5396
545,0.5747
546,0.4797
547,0.5677
548,0.5381
549,0.5294
550,0.4852
551,0.5594
552,0.5058
553,0.5608
554,0.5477
555,0.517
556,0.4745
557,0.4886
558,0.5092
559,0.5724
560,0.5414
561,0.5762
562,0.6025
563,0.5541
564,0.5475
565,0.5334
566,0.6124
567,0.5683
568,0.5742
569,0.4905
570,0.4829
571,0.5781
572,0.5949
573,0.5522
574,0.5662
575,0.517
576,0.5279
577,0.5864
578,0.5536
579,0.5162
580,0.5559
581,0.5858
582,0.6286
583,0.5248
584,0.5017
585,0.5436
586,0.518
587,0.5401
588,0.5515
589,0.548
590,0.5477
591,0.5415
592,0.4996
593,0.5918
594,0.5821
595,0.5458
596,0.5488
597,0.5467
598,0.5068
599,0.5908
600,0.5967
