,SB
0,6.751753517164616e-06
1,3.8732950180531134e-10
2,0.006621586624532938
3,1.6426558431703597e-05
4,3.6347279319670633e-07
5,0.0004396229051053524
6,0.0008564169984310865
7,6.376361125148833e-05
8,1.715436326321651e-07
9,4.179128154646605e-07
10,1.8595401343191043e-05
11,0.0003111280675511807
12,0.00039960400317795575
13,4.735192682403522e-09
14,1.183293306894484e-06
15,2.6267755970366125e-08
16,3.51594138692235e-07
17,0.00016381559544242918
18,2.463096961946576e-06
19,1.3647425411988934e-09
20,4.09572713522266e-08
21,1.8168909718951909e-06
22,4.989710305380868e-06
23,0.0001640771806705743
24,0.00011220238957321271
25,1.6781241640728695e-07
26,0.04572518169879913
27,1.4485128374541745e-10
28,8.557740329706576e-06
29,1.4074996670387918e-06
30,1.278341187571641e-06
31,2.136432613042416e-07
32,2.3629127099411562e-07
33,6.111550021614676e-08
34,3.33235061589221e-06
35,1.2652054692807724e-07
36,8.488328603561968e-05
37,0.0020190777722746134
38,8.514710714280227e-09
39,1.1801708751590922e-05
40,2.06243585125776e-05
41,2.7539109881402624e-10
42,1.4678319359973102e-07
43,4.987333886674605e-05
44,3.4619964139892545e-07
45,7.890313895586587e-07
46,1.6069299135779147e-07
47,1.3447403546251735e-07
48,0.00025543029187247157
49,1.1684182936733123e-06
50,7.420263159474416e-07
51,8.875127241481096e-05
52,7.432813617924694e-07
53,5.335763830771612e-07
54,0.0008785061072558165
55,2.0254746857517603e-07
56,5.694722560178889e-08
57,3.2018113415688276e-05
58,3.010388525126473e-07
59,0.0011461895192041993
60,0.045036524534225464
61,4.0707571315579116e-05
62,2.4733196823945036e-06
63,7.504881978093181e-07
64,1.107984530790418e-06
65,3.0747790980001355e-09
66,6.507991656690137e-07
67,1.0740414779775165e-07
68,4.076098412042484e-05
69,2.136726067192285e-07
70,0.0041637904942035675
71,1.565706675421552e-08
72,0.004022061824798584
73,1.5782665840902155e-08
74,0.014756394550204277
75,0.0011392389424145222
76,4.512180112214992e-06
77,2.594836168157144e-08
78,1.9710939795913873e-06
79,7.162116526160389e-05
80,2.4173646124836523e-06
81,2.013121047639288e-07
82,1.3906717444278627e-10
83,1.2179494035535754e-07
84,6.774347184546059e-06
85,1.0662224667612463e-06
86,5.005638740840368e-06
87,3.032703352801036e-05
88,1.6053002127591753e-07
89,1.9874287104926225e-08
90,9.918392329666403e-09
91,2.389130486335489e-06
92,2.5560439098626375e-05
93,5.322237939253682e-08
94,1.362615648758947e-06
95,1.3820140054576768e-07
96,1.8210339902680062e-09
97,5.6801676691975445e-05
98,1.2173752566013718e-06
99,0.00041217025136575103
100,3.3510765717892355e-08
101,6.23320447630249e-05
102,3.107040313921061e-08
103,8.057789102622337e-08
104,3.1782488463250047e-07
105,4.063691250166812e-08
106,2.118198061396015e-09
107,0.0001645744196139276
108,4.066634119226364e-06
109,1.0306447393304552e-06
110,2.2840636120236013e-06
111,4.337732306680664e-08
112,5.311072982294718e-06
113,0.0003808111068792641
114,0.052218202501535416
115,8.120873751238378e-09
116,9.87452131084865e-06
117,1.0199841682378974e-07
118,0.002056690864264965
119,3.88773013781929e-09
120,2.8342165592221136e-07
121,5.683954640289812e-09
122,2.647083965712227e-05
123,6.827065135439625e-07
124,1.3742919691139832e-06
125,1.8716329464041337e-07
126,6.740773983437975e-07
127,0.0010431219125166535
128,3.919046321243513e-06
129,7.012621949797904e-08
130,1.7986629075039673e-08
131,9.259399291750015e-08
132,0.0006181542994454503
133,5.067776669420709e-07
134,3.2944433769444004e-05
135,2.873342509701615e-06
136,6.971322824567139e-11
137,5.42619238430575e-09
138,0.00011401465599192306
139,1.7065547581296414e-05
140,9.176133630717231e-08
141,7.227757281569325e-10
142,1.3597889847005717e-05
143,1.361390150123043e-05
144,0.0017927233129739761
145,9.147963453415286e-08
146,2.515245068934746e-05
147,3.901026275343611e-07
148,1.5569735778431237e-10
149,1.8555178726842314e-08
150,0.0009766863659024239
151,0.0004595805366989225
152,1.2659779713430908e-05
153,0.0030629716347903013
154,0.00017806721734814346
155,0.000322028441587463
156,0.00026824112865142524
157,3.761993383477602e-08
158,1.9841723997160443e-07
159,7.282511660378077e-07
160,0.0005371042061597109
161,6.131180271040648e-05
162,9.090517414733768e-05
163,1.7757298337528482e-05
164,3.3491040085209534e-05
