,piece_counts_sum
0,513.0
1,457.0
2,428.0
3,289.0
4,410.0
5,436.0
6,425.0
7,346.0
8,434.0
9,401.0
10,473.0
11,405.0
12,373.0
13,475.0
14,392.0
15,465.0
16,406.0
17,429.0
18,477.0
19,471.0
20,340.0
21,462.0
22,316.0
23,360.0
24,336.0
25,450.0
26,483.0
27,469.0
28,416.0
29,417.0
30,393.0
31,407.0
32,495.0
33,370.0
34,371.0
35,450.0
36,455.0
37,456.0
38,494.0
39,370.0
40,466.0
41,279.0
42,428.0
43,331.0
44,398.0
45,496.0
46,403.0
47,305.0
48,312.0
49,481.0
50,469.0
51,420.0
52,411.0
53,460.0
54,448.0
55,407.0
56,310.0
57,408.0
58,427.0
59,466.0
60,388.0
61,459.0
62,372.0
63,400.0
64,388.0
65,490.0
66,392.0
67,299.0
68,412.0
69,474.0
70,411.0
71,365.0
72,450.0
73,324.0
74,292.0
75,440.0
76,451.0
77,412.0
78,436.0
79,435.0
80,329.0
81,452.0
82,379.0
83,363.0
84,448.0
85,375.0
86,348.0
87,289.0
88,482.0
89,428.0
90,498.0
91,389.0
92,338.0
93,429.0
94,386.0
95,465.0
96,386.0
97,426.0
98,473.0
99,443.0
100,517.0
101,487.0
102,443.0
103,359.0
104,508.0
105,417.0
106,462.0
107,410.0
108,440.0
109,274.0
110,435.0
111,515.0
112,389.0
113,492.0
114,402.0
115,377.0
116,483.0
117,390.0
118,364.0
119,338.0
120,438.0
121,249.0
122,401.0
123,416.0
124,467.0
125,397.0
126,403.0
127,510.0
128,374.0
129,422.0
130,447.0
131,494.0
132,371.0
133,412.0
134,469.0
135,391.0
136,418.0
137,463.0
138,427.0
139,432.0
140,440.0
141,407.0
142,450.0
143,425.0
144,470.0
145,488.0
146,402.0
147,496.0
148,397.0
149,399.0
150,423.0
151,465.0
152,341.0
153,446.0
154,437.0
155,456.0
156,529.0
157,400.0
158,438.0
159,363.0
160,406.0
161,318.0
162,439.0
163,369.0
164,287.0
165,494.0
166,439.0
167,472.0
168,420.0
169,449.0
170,459.0
171,364.0
172,374.0
173,447.0
174,455.0
175,508.0
176,413.0
177,357.0
178,426.0
179,426.0
180,349.0
181,397.0
182,515.0
183,360.0
184,471.0
185,409.0
186,506.0
187,392.0
188,431.0
189,463.0
190,348.0
191,470.0
192,481.0
193,432.0
194,417.0
195,387.0
196,419.0
197,414.0
198,424.0
199,391.0
200,444.0
201,320.0
202,438.0
203,417.0
204,460.0
205,443.0
206,343.0
207,364.0
208,411.0
209,439.0
210,406.0
211,342.0
212,382.0
213,419.0
214,436.0
215,438.0
216,502.0
217,406.0
218,375.0
219,484.0
220,482.0
221,409.0
222,383.0
223,452.0
224,385.0
225,394.0
226,351.0
227,385.0
228,471.0
229,518.0
230,367.0
231,364.0
232,403.0
233,399.0
234,406.0
235,466.0
236,423.0
237,418.0
238,469.0
239,442.0
240,501.0
241,451.0
242,449.0
243,452.0
244,433.0
245,424.0
246,414.0
247,328.0
248,410.0
249,394.0
250,460.0
251,462.0
252,428.0
253,400.0
254,487.0
255,435.0
256,485.0
257,431.0
258,458.0
259,390.0
260,294.0
261,455.0
262,383.0
263,415.0
264,371.0
265,338.0
266,387.0
267,409.0
268,359.0
269,476.0
270,501.0
271,373.0
272,457.0
273,451.0
274,420.0
275,468.0
276,417.0
277,319.0
278,314.0
279,318.0
280,396.0
281,380.0
282,475.0
283,526.0
284,451.0
285,363.0
286,362.0
287,382.0
288,490.0
289,353.0
290,417.0
291,450.0
292,456.0
293,390.0
294,538.0
295,383.0
296,484.0
297,404.0
298,402.0
299,472.0
300,486.0
301,396.0
302,431.0
303,415.0
304,379.0
305,415.0
306,369.0
307,355.0
308,481.0
309,364.0
310,327.0
311,524.0
312,478.0
313,385.0
314,302.0
315,335.0
316,411.0
317,428.0
318,399.0
319,442.0
320,365.0
321,400.0
322,398.0
323,475.0
324,315.0
325,449.0
326,416.0
327,419.0
328,420.0
329,395.0
330,267.0
331,411.0
332,458.0
333,417.0
334,486.0
335,466.0
336,387.0
337,290.0
338,376.0
339,396.0
340,433.0
341,492.0
342,348.0
343,417.0
344,433.0
345,433.0
346,419.0
347,449.0
348,420.0
349,451.0
350,464.0
351,475.0
352,444.0
353,502.0
354,386.0
355,372.0
356,421.0
357,412.0
358,469.0
359,392.0
360,448.0
361,475.0
362,396.0
363,480.0
364,478.0
365,436.0
366,367.0
367,440.0
368,386.0
369,464.0
370,413.0
371,359.0
372,321.0
373,331.0
374,351.0
375,452.0
376,359.0
377,423.0
378,273.0
379,482.0
380,428.0
381,439.0
382,417.0
383,364.0
384,403.0
385,395.0
386,493.0
387,296.0
388,351.0
389,409.0
390,373.0
391,428.0
392,432.0
393,453.0
394,478.0
395,406.0
396,293.0
397,443.0
398,300.0
399,429.0
400,344.0
401,349.0
402,421.0
403,401.0
404,421.0
405,387.0
406,417.0
407,366.0
408,300.0
409,374.0
410,392.0
411,420.0
412,490.0
413,481.0
414,456.0
415,460.0
416,406.0
417,378.0
418,438.0
419,446.0
420,366.0
421,413.0
422,467.0
423,279.0
424,461.0
425,341.0
426,364.0
427,475.0
428,495.0
429,288.0
430,386.0
431,347.0
432,370.0
433,414.0
434,438.0
435,332.0
436,510.0
437,438.0
438,485.0
439,428.0
440,495.0
441,412.0
442,384.0
443,492.0
444,301.0
445,338.0
446,414.0
447,383.0
448,355.0
449,382.0
450,485.0
451,441.0
452,389.0
453,493.0
454,427.0
455,476.0
456,488.0
457,448.0
458,463.0
459,405.0
460,338.0
461,351.0
462,440.0
463,418.0
464,489.0
465,471.0
466,429.0
467,466.0
468,401.0
469,490.0
470,440.0
471,465.0
472,415.0
473,315.0
474,307.0
475,380.0
476,391.0
477,434.0
478,400.0
479,455.0
480,421.0
481,489.0
482,421.0
483,484.0
484,411.0
485,391.0
486,356.0
487,354.0
488,477.0
489,435.0
490,473.0
491,427.0
492,372.0
493,438.0
494,440.0
495,415.0
496,420.0
497,466.0
498,331.0
499,354.0
500,512.0
501,511.0
502,403.0
503,485.0
504,328.0
505,472.0
506,467.0
507,525.0
508,271.0
509,315.0
510,318.0
511,460.0
512,406.0
513,353.0
514,405.0
515,395.0
516,513.0
517,449.0
518,351.0
519,378.0
520,474.0
521,385.0
522,446.0
523,190.0
524,416.0
525,408.0
526,438.0
527,406.0
528,455.0
529,415.0
530,468.0
531,419.0
532,434.0
533,443.0
534,421.0
535,368.0
536,485.0
537,448.0
538,474.0
539,365.0
540,401.0
541,402.0
542,367.0
543,481.0
544,395.0
545,419.0
546,311.0
547,406.0
548,310.0
549,359.0
550,472.0
551,384.0
552,434.0
553,410.0
554,386.0
555,470.0
556,352.0
557,406.0
558,410.0
559,243.0
560,477.0
561,437.0
562,385.0
563,499.0
564,307.0
565,418.0
566,352.0
567,423.0
568,344.0
569,342.0
570,401.0
571,420.0
572,468.0
573,384.0
574,406.0
575,380.0
576,436.0
577,435.0
578,489.0
579,476.0
580,278.0
581,485.0
582,445.0
583,409.0
584,462.0
585,430.0
586,419.0
587,413.0
588,474.0
589,410.0
590,485.0
591,435.0
592,459.0
593,447.0
594,427.0
595,429.0
596,272.0
597,492.0
598,434.0
599,516.0
600,480.0
601,388.0
602,431.0
603,505.0
604,378.0
605,497.0
606,420.0
607,443.0
608,484.0
609,413.0
610,356.0
611,313.0
612,469.0
613,364.0
614,497.0
615,526.0
616,497.0
617,521.0
618,401.0
619,279.0
620,380.0
621,488.0
622,386.0
623,400.0
624,500.0
625,477.0
626,443.0
627,449.0
628,444.0
629,444.0
630,395.0
631,360.0
632,438.0
633,410.0
634,514.0
635,470.0
636,374.0
637,381.0
638,521.0
639,448.0
640,381.0
641,242.0
642,445.0
643,340.0
644,355.0
645,478.0
646,467.0
647,356.0
648,479.0
649,348.0
650,448.0
651,367.0
652,433.0
653,417.0
654,418.0
655,512.0
656,417.0
657,432.0
658,365.0
659,487.0
660,494.0
661,349.0
662,462.0
663,331.0
664,413.0
665,449.0
666,358.0
667,388.0
668,427.0
669,382.0
670,395.0
671,484.0
672,369.0
673,463.0
674,401.0
675,443.0
676,409.0
677,463.0
678,392.0
679,399.0
680,453.0
681,401.0
682,428.0
683,382.0
684,374.0
685,469.0
686,281.0
687,378.0
688,502.0
689,384.0
690,407.0
691,498.0
692,386.0
693,436.0
694,367.0
695,473.0
696,397.0
697,487.0
698,414.0
699,447.0
700,386.0
701,447.0
702,341.0
703,444.0
704,389.0
705,382.0
706,513.0
707,351.0
708,476.0
709,470.0
710,481.0
711,447.0
712,416.0
713,242.0
714,313.0
715,412.0
716,481.0
717,369.0
718,417.0
719,352.0
720,468.0
721,404.0
722,403.0
723,364.0
724,369.0
725,445.0
726,405.0
727,417.0
728,357.0
729,403.0
730,495.0
731,378.0
732,439.0
733,318.0
734,433.0
735,414.0
736,455.0
737,465.0
738,307.0
739,358.0
740,452.0
741,462.0
742,418.0
743,413.0
744,382.0
745,364.0
746,433.0
747,473.0
748,357.0
749,405.0
750,427.0
751,288.0
752,452.0
753,433.0
754,402.0
755,457.0
756,421.0
757,365.0
758,309.0
759,509.0
760,516.0
761,427.0
762,388.0
763,437.0
764,499.0
765,373.0
766,419.0
767,374.0
768,419.0
769,328.0
770,449.0
771,495.0
772,450.0
773,383.0
774,428.0
775,482.0
776,362.0
777,455.0
778,347.0
779,534.0
780,415.0
781,391.0
782,376.0
783,447.0
784,506.0
785,325.0
786,427.0
787,453.0
788,469.0
789,505.0
790,499.0
791,478.0
792,374.0
793,402.0
794,375.0
795,411.0
796,449.0
797,528.0
798,343.0
799,361.0
800,468.0
801,416.0
802,407.0
803,343.0
804,371.0
805,465.0
806,462.0
807,300.0
808,452.0
809,400.0
