,piece_counts_sum
0,397.0
1,329.0
2,429.0
3,431.0
4,488.0
5,406.0
6,507.0
7,369.0
8,505.0
9,449.0
10,431.0
11,435.0
12,442.0
13,444.0
14,433.0
15,426.0
16,412.0
17,411.0
18,363.0
19,405.0
20,485.0
21,459.0
22,415.0
23,411.0
24,419.0
25,342.0
26,446.0
27,436.0
28,477.0
29,440.0
30,461.0
31,326.0
32,462.0
33,313.0
34,447.0
35,346.0
36,440.0
37,442.0
38,501.0
39,331.0
40,372.0
41,505.0
42,437.0
43,444.0
44,379.0
45,422.0
46,463.0
47,372.0
48,221.0
49,409.0
50,414.0
51,425.0
52,383.0
53,419.0
54,461.0
55,358.0
56,451.0
57,332.0
58,406.0
59,356.0
60,440.0
61,364.0
62,501.0
63,385.0
64,428.0
65,471.0
66,425.0
67,437.0
68,399.0
69,444.0
70,358.0
71,476.0
72,417.0
73,409.0
74,431.0
75,444.0
76,397.0
77,496.0
78,403.0
79,359.0
80,442.0
81,449.0
82,410.0
83,347.0
84,500.0
85,486.0
86,434.0
87,382.0
88,431.0
89,458.0
90,350.0
91,382.0
92,419.0
93,359.0
94,448.0
95,472.0
96,402.0
97,328.0
98,463.0
99,391.0
100,400.0
101,338.0
102,383.0
103,442.0
104,355.0
105,476.0
106,425.0
107,406.0
108,404.0
109,471.0
110,503.0
111,473.0
112,416.0
113,430.0
114,319.0
115,286.0
116,433.0
117,391.0
118,360.0
119,450.0
120,444.0
121,447.0
122,408.0
123,431.0
124,517.0
125,455.0
126,413.0
127,416.0
128,411.0
129,365.0
130,391.0
131,337.0
132,417.0
133,413.0
134,461.0
135,428.0
136,438.0
137,423.0
138,361.0
139,457.0
140,379.0
141,419.0
142,444.0
143,391.0
144,478.0
145,467.0
146,339.0
147,445.0
148,381.0
149,463.0
150,433.0
151,379.0
152,320.0
153,469.0
154,348.0
155,463.0
156,384.0
157,511.0
158,421.0
159,327.0
160,438.0
161,393.0
162,307.0
163,414.0
164,429.0
165,499.0
166,349.0
167,322.0
168,359.0
169,467.0
170,482.0
171,438.0
172,291.0
173,406.0
174,422.0
175,422.0
176,481.0
177,494.0
178,444.0
179,451.0
180,405.0
181,381.0
182,378.0
183,427.0
184,438.0
185,474.0
186,372.0
187,393.0
188,485.0
189,403.0
190,378.0
191,426.0
192,280.0
193,354.0
194,430.0
195,425.0
196,451.0
197,447.0
198,478.0
199,448.0
200,355.0
201,462.0
202,422.0
203,479.0
204,475.0
205,458.0
206,522.0
207,459.0
208,519.0
209,355.0
210,455.0
211,321.0
212,488.0
213,398.0
214,398.0
215,376.0
216,419.0
217,525.0
218,319.0
219,425.0
220,391.0
221,502.0
222,308.0
223,391.0
224,466.0
225,371.0
226,446.0
227,395.0
228,404.0
229,375.0
230,436.0
231,453.0
232,441.0
233,424.0
234,329.0
235,501.0
236,369.0
237,401.0
238,476.0
239,338.0
240,314.0
241,400.0
242,471.0
243,467.0
244,496.0
245,362.0
246,455.0
247,357.0
248,474.0
249,522.0
250,463.0
251,422.0
252,415.0
253,358.0
254,449.0
255,426.0
256,386.0
257,405.0
258,506.0
259,455.0
260,403.0
261,437.0
262,446.0
263,479.0
264,527.0
265,432.0
266,496.0
267,411.0
268,409.0
269,418.0
270,452.0
271,458.0
272,348.0
273,423.0
274,482.0
275,441.0
276,442.0
277,349.0
278,424.0
279,448.0
280,459.0
281,344.0
282,419.0
283,371.0
284,462.0
285,481.0
286,413.0
287,400.0
288,402.0
289,401.0
290,352.0
291,387.0
292,451.0
293,396.0
294,366.0
295,425.0
296,468.0
297,331.0
298,457.0
299,415.0
300,421.0
301,424.0
302,471.0
303,418.0
304,383.0
305,410.0
306,378.0
307,435.0
308,425.0
309,335.0
310,447.0
311,396.0
312,396.0
313,328.0
314,467.0
315,458.0
316,452.0
317,463.0
318,478.0
319,418.0
320,431.0
321,451.0
322,348.0
323,519.0
324,344.0
325,339.0
326,455.0
327,478.0
328,483.0
329,417.0
330,444.0
331,394.0
332,421.0
333,439.0
334,487.0
335,346.0
336,406.0
337,374.0
338,505.0
339,340.0
340,490.0
341,426.0
342,378.0
343,412.0
344,463.0
345,346.0
346,388.0
347,372.0
348,465.0
349,365.0
350,357.0
351,514.0
352,429.0
353,469.0
354,474.0
355,403.0
356,417.0
357,366.0
358,473.0
359,347.0
360,277.0
361,353.0
362,406.0
363,425.0
364,388.0
365,393.0
366,408.0
367,456.0
368,393.0
369,437.0
370,424.0
371,444.0
372,398.0
373,389.0
374,419.0
375,429.0
376,429.0
377,435.0
378,306.0
379,453.0
380,455.0
381,404.0
382,404.0
383,468.0
384,494.0
385,474.0
386,415.0
387,389.0
388,360.0
389,423.0
390,364.0
391,383.0
392,373.0
393,434.0
394,357.0
395,406.0
396,435.0
397,446.0
398,488.0
399,430.0
400,316.0
401,286.0
402,426.0
403,443.0
404,446.0
405,446.0
406,454.0
407,433.0
408,362.0
409,451.0
410,372.0
411,314.0
412,403.0
413,557.0
414,335.0
415,460.0
416,339.0
417,489.0
418,422.0
419,444.0
420,404.0
421,382.0
422,454.0
423,395.0
424,434.0
425,402.0
426,455.0
427,427.0
428,467.0
429,443.0
430,475.0
431,474.0
432,340.0
433,472.0
434,454.0
435,485.0
436,449.0
437,354.0
438,459.0
439,478.0
440,510.0
441,507.0
442,436.0
443,343.0
444,487.0
445,415.0
446,400.0
447,427.0
448,443.0
449,349.0
450,430.0
451,493.0
452,409.0
453,428.0
454,455.0
455,405.0
456,485.0
457,468.0
458,394.0
459,424.0
460,326.0
461,388.0
462,418.0
463,506.0
464,452.0
465,507.0
466,404.0
467,434.0
468,378.0
469,327.0
470,412.0
471,479.0
472,341.0
473,432.0
474,324.0
475,453.0
476,371.0
477,361.0
478,510.0
479,486.0
480,452.0
481,504.0
482,538.0
483,469.0
484,331.0
485,413.0
486,456.0
487,407.0
488,497.0
489,329.0
490,326.0
491,356.0
492,369.0
493,506.0
494,404.0
495,432.0
496,411.0
497,441.0
498,251.0
499,422.0
500,383.0
501,430.0
502,458.0
503,342.0
504,366.0
505,486.0
506,503.0
507,388.0
508,457.0
509,426.0
510,420.0
511,518.0
512,426.0
513,408.0
514,441.0
515,440.0
516,340.0
517,325.0
518,405.0
519,369.0
520,358.0
521,438.0
522,465.0
523,397.0
524,358.0
525,419.0
526,359.0
527,394.0
528,394.0
529,482.0
530,447.0
531,393.0
532,440.0
533,499.0
534,407.0
535,405.0
536,435.0
537,455.0
538,410.0
539,479.0
540,243.0
541,402.0
542,394.0
543,452.0
544,484.0
545,431.0
546,454.0
547,389.0
548,404.0
549,415.0
550,461.0
551,447.0
552,505.0
553,532.0
554,437.0
555,403.0
556,405.0
557,420.0
558,386.0
559,427.0
560,487.0
561,438.0
562,420.0
563,363.0
564,404.0
565,412.0
566,446.0
567,395.0
568,434.0
569,499.0
570,399.0
571,440.0
572,472.0
573,401.0
574,413.0
575,505.0
576,500.0
577,426.0
578,435.0
579,384.0
580,429.0
581,371.0
582,331.0
583,395.0
584,503.0
585,350.0
586,413.0
587,345.0
588,418.0
589,339.0
590,397.0
591,528.0
592,477.0
593,444.0
594,463.0
595,408.0
596,476.0
597,513.0
598,501.0
599,452.0
600,463.0
601,396.0
602,399.0
603,362.0
604,453.0
605,445.0
606,368.0
607,434.0
608,339.0
609,374.0
610,449.0
611,498.0
612,354.0
613,412.0
614,415.0
615,370.0
616,452.0
617,356.0
618,302.0
619,368.0
620,394.0
621,444.0
622,446.0
623,404.0
624,403.0
625,387.0
626,488.0
627,411.0
628,413.0
629,492.0
630,305.0
