,piece_counts_sum
0,403.0
1,379.0
2,394.0
3,367.0
4,364.0
5,391.0
6,368.0
7,446.0
8,343.0
9,422.0
10,438.0
11,446.0
12,479.0
13,328.0
14,377.0
15,333.0
16,421.0
17,467.0
18,436.0
19,271.0
20,386.0
21,363.0
22,339.0
23,456.0
24,415.0
25,462.0
26,436.0
27,405.0
28,437.0
29,412.0
30,451.0
31,452.0
32,323.0
33,410.0
34,411.0
35,450.0
36,449.0
37,461.0
38,429.0
39,437.0
40,445.0
41,356.0
42,209.0
43,380.0
44,340.0
45,347.0
46,369.0
47,407.0
48,392.0
49,354.0
50,413.0
51,451.0
52,355.0
53,408.0
54,418.0
55,432.0
56,434.0
57,398.0
58,382.0
59,353.0
60,402.0
61,389.0
62,441.0
63,349.0
64,436.0
65,412.0
66,389.0
67,356.0
68,314.0
69,388.0
70,388.0
71,440.0
72,471.0
73,576.0
74,409.0
75,391.0
76,447.0
77,354.0
78,380.0
79,370.0
80,329.0
81,500.0
82,378.0
83,499.0
84,439.0
85,315.0
86,287.0
87,384.0
88,386.0
89,488.0
90,321.0
91,335.0
92,260.0
93,281.0
94,354.0
95,381.0
96,443.0
97,354.0
98,313.0
99,415.0
100,310.0
101,368.0
102,461.0
103,474.0
104,434.0
105,400.0
106,436.0
107,444.0
108,429.0
109,392.0
110,367.0
111,393.0
112,345.0
113,337.0
114,346.0
115,410.0
116,379.0
117,387.0
118,331.0
119,397.0
120,355.0
121,414.0
122,418.0
123,328.0
124,321.0
125,378.0
126,404.0
127,401.0
128,448.0
129,347.0
130,466.0
131,409.0
132,346.0
133,362.0
134,409.0
135,431.0
136,364.0
137,461.0
138,357.0
139,388.0
140,304.0
141,284.0
142,341.0
143,390.0
144,394.0
145,405.0
146,286.0
147,359.0
148,377.0
149,391.0
150,466.0
151,424.0
152,509.0
153,347.0
154,363.0
155,469.0
156,390.0
157,412.0
158,437.0
159,420.0
160,435.0
161,481.0
162,373.0
163,465.0
164,441.0
165,374.0
166,387.0
167,409.0
168,405.0
169,366.0
170,456.0
171,419.0
172,363.0
173,355.0
174,363.0
175,438.0
176,410.0
177,432.0
178,447.0
179,411.0
180,404.0
181,470.0
182,315.0
183,322.0
184,340.0
185,417.0
186,459.0
187,411.0
188,436.0
189,420.0
190,393.0
191,505.0
192,300.0
193,367.0
194,403.0
195,358.0
196,307.0
197,423.0
198,411.0
199,408.0
200,487.0
201,421.0
202,307.0
203,483.0
204,432.0
205,401.0
206,323.0
207,300.0
208,378.0
209,508.0
210,372.0
211,305.0
212,479.0
213,395.0
214,426.0
215,434.0
216,389.0
217,440.0
218,425.0
219,412.0
220,434.0
221,407.0
222,425.0
223,398.0
224,366.0
225,438.0
226,393.0
227,415.0
228,351.0
229,356.0
230,401.0
231,390.0
232,397.0
233,288.0
234,360.0
235,358.0
236,386.0
237,397.0
238,291.0
239,449.0
240,350.0
241,398.0
242,455.0
243,414.0
244,411.0
245,394.0
246,378.0
247,381.0
248,430.0
249,419.0
250,449.0
251,436.0
252,427.0
253,499.0
254,345.0
255,350.0
256,371.0
257,351.0
258,359.0
259,363.0
260,467.0
261,368.0
262,347.0
263,369.0
264,396.0
265,422.0
266,270.0
267,394.0
268,421.0
269,383.0
270,439.0
271,454.0
272,402.0
273,356.0
274,303.0
275,415.0
276,357.0
277,338.0
278,406.0
279,400.0
280,395.0
281,446.0
282,446.0
283,383.0
284,480.0
285,291.0
286,337.0
287,343.0
288,427.0
289,425.0
290,299.0
291,389.0
292,326.0
