,piece_counts_sum
0,769.0
1,745.0
2,760.0
3,733.0
4,730.0
5,757.0
6,734.0
7,812.0
8,709.0
9,788.0
10,804.0
11,812.0
12,845.0
13,694.0
14,743.0
15,699.0
16,787.0
17,833.0
18,802.0
19,637.0
20,752.0
21,729.0
22,705.0
23,822.0
24,781.0
25,828.0
26,802.0
27,771.0
28,803.0
29,778.0
30,817.0
31,818.0
32,689.0
33,776.0
34,777.0
35,816.0
36,815.0
37,827.0
38,795.0
39,803.0
40,811.0
41,722.0
42,575.0
43,746.0
44,706.0
45,713.0
46,735.0
47,773.0
48,758.0
49,720.0
50,779.0
51,817.0
52,721.0
53,774.0
54,784.0
55,798.0
56,800.0
57,764.0
58,748.0
59,719.0
60,768.0
61,755.0
62,807.0
63,715.0
64,802.0
65,778.0
66,755.0
67,722.0
68,680.0
69,754.0
70,754.0
71,806.0
72,837.0
73,942.0
74,775.0
75,757.0
76,813.0
77,720.0
78,746.0
79,736.0
80,695.0
81,866.0
82,744.0
83,865.0
84,805.0
85,681.0
86,653.0
87,750.0
88,752.0
89,854.0
90,687.0
91,701.0
92,626.0
93,647.0
94,720.0
95,747.0
96,809.0
97,720.0
98,679.0
99,781.0
100,676.0
101,734.0
102,827.0
103,840.0
104,800.0
105,766.0
106,802.0
107,810.0
108,795.0
109,758.0
110,733.0
111,759.0
112,711.0
113,703.0
114,712.0
115,776.0
116,745.0
117,753.0
118,697.0
119,763.0
120,721.0
121,780.0
122,784.0
123,694.0
124,687.0
125,744.0
126,770.0
127,767.0
128,814.0
129,713.0
130,832.0
131,775.0
132,712.0
133,728.0
134,775.0
135,797.0
136,730.0
137,827.0
138,723.0
139,754.0
140,670.0
141,650.0
142,707.0
143,756.0
144,760.0
145,771.0
146,652.0
147,725.0
148,743.0
149,757.0
150,832.0
151,790.0
152,875.0
153,713.0
154,729.0
155,835.0
156,756.0
157,778.0
158,803.0
159,786.0
160,801.0
161,847.0
162,739.0
163,831.0
164,807.0
165,740.0
166,753.0
167,775.0
