,piece_counts_sum
0,782.0
1,830.0
2,797.0
3,774.0
4,670.0
5,666.0
6,782.0
7,715.0
8,760.0
9,791.0
10,821.0
11,796.0
12,715.0
13,753.0
14,823.0
15,797.0
16,702.0
17,735.0
18,790.0
19,807.0
20,824.0
21,782.0
22,709.0
23,750.0
24,718.0
25,724.0
26,793.0
27,742.0
28,751.0
29,743.0
30,700.0
31,722.0
32,731.0
33,809.0
34,732.0
35,811.0
36,735.0
37,722.0
38,768.0
39,753.0
40,844.0
41,781.0
42,690.0
43,637.0
44,797.0
45,784.0
46,724.0
47,794.0
48,774.0
49,755.0
50,841.0
51,793.0
52,681.0
53,824.0
54,795.0
55,708.0
56,717.0
57,695.0
58,726.0
59,764.0
60,649.0
61,821.0
62,759.0
63,777.0
64,793.0
65,761.0
66,708.0
67,715.0
68,718.0
69,727.0
70,780.0
71,795.0
72,763.0
73,718.0
74,796.0
75,710.0
76,779.0
77,749.0
78,757.0
79,703.0
80,763.0
81,825.0
82,749.0
83,729.0
84,736.0
85,760.0
86,775.0
87,722.0
88,720.0
89,746.0
90,729.0
91,897.0
92,767.0
93,764.0
94,822.0
95,690.0
96,759.0
97,679.0
98,765.0
99,726.0
100,791.0
101,759.0
102,676.0
103,775.0
104,773.0
105,800.0
106,717.0
107,736.0
108,765.0
109,676.0
110,737.0
111,763.0
112,547.0
113,687.0
114,806.0
115,778.0
116,750.0
117,703.0
118,738.0
119,826.0
120,798.0
121,658.0
122,696.0
123,751.0
124,798.0
125,746.0
126,805.0
127,760.0
128,755.0
129,732.0
130,873.0
131,777.0
132,836.0
133,773.0
134,778.0
135,770.0
136,819.0
137,698.0
138,735.0
139,779.0
140,710.0
141,676.0
142,715.0
143,756.0
144,738.0
145,753.0
146,696.0
147,725.0
148,774.0
149,717.0
150,768.0
151,740.0
152,701.0
153,754.0
154,723.0
155,769.0
156,775.0
157,818.0
158,822.0
159,657.0
160,818.0
161,796.0
162,750.0
163,779.0
164,705.0
165,798.0
166,696.0
167,833.0
168,671.0
169,719.0
170,708.0
171,757.0
172,763.0
173,723.0
174,788.0
175,687.0
176,755.0
177,800.0
178,780.0
179,722.0
180,728.0
181,788.0
182,704.0
183,777.0
184,748.0
185,703.0
186,753.0
187,759.0
188,741.0
189,782.0
190,701.0
191,837.0
192,773.0
193,786.0
194,745.0
195,768.0
196,745.0
197,715.0
198,792.0
199,691.0
200,757.0
201,673.0
202,811.0
203,748.0
204,821.0
205,736.0
206,754.0
207,668.0
208,721.0
209,745.0
210,741.0
211,831.0
212,812.0
213,798.0
214,832.0
215,859.0
216,828.0
217,694.0
218,786.0
219,730.0
220,724.0
221,769.0
222,830.0
223,796.0
224,777.0
225,687.0
226,829.0
227,797.0
228,752.0
229,750.0
230,763.0
231,851.0
232,698.0
233,736.0
234,725.0
235,809.0
236,748.0
237,757.0
238,702.0
239,770.0
240,765.0
241,736.0
242,808.0
243,798.0
244,865.0
245,737.0
246,789.0
247,852.0
248,736.0
249,767.0
250,846.0
251,718.0
252,704.0
253,684.0
254,658.0
255,639.0
256,662.0
257,678.0
258,819.0
259,738.0
260,775.0
261,687.0
262,777.0
263,725.0
264,703.0
265,752.0
266,817.0
267,717.0
268,822.0
269,775.0
270,822.0
271,844.0
272,717.0
273,740.0
274,728.0
275,779.0
276,803.0
277,775.0
278,673.0
279,817.0
280,701.0
281,803.0
282,668.0
283,695.0
284,777.0
285,773.0
286,729.0
287,704.0
288,749.0
289,694.0
290,765.0
291,804.0
292,788.0
293,725.0
294,822.0
295,771.0
296,738.0
297,781.0
298,723.0
299,801.0
300,706.0
301,791.0
302,726.0
303,688.0
304,701.0
305,789.0
306,752.0
307,830.0
308,732.0
309,771.0
310,713.0
311,810.0
312,752.0
313,673.0
314,679.0
315,789.0
316,748.0
317,706.0
318,762.0
319,767.0
320,772.0
321,727.0
322,835.0
323,747.0
324,732.0
325,825.0
326,833.0
327,769.0
328,786.0
329,743.0
330,741.0
331,824.0
332,686.0
333,648.0
334,732.0
335,833.0
336,809.0
337,742.0
338,822.0
339,712.0
340,771.0
341,688.0
342,788.0
343,701.0
344,741.0
345,770.0
346,667.0
347,781.0
348,846.0
349,703.0
350,790.0
351,785.0
352,811.0
353,783.0
354,724.0
355,763.0
356,850.0
357,818.0
358,698.0
359,688.0
360,720.0
361,796.0
362,839.0
363,736.0
364,768.0
365,767.0
366,805.0
367,735.0
368,766.0
369,717.0
370,641.0
371,862.0
372,750.0
373,812.0
374,697.0
375,796.0
376,768.0
377,679.0
378,684.0
379,779.0
380,811.0
381,744.0
382,779.0
383,633.0
384,736.0
385,689.0
386,681.0
387,615.0
388,738.0
389,726.0
390,692.0
391,718.0
392,775.0
393,728.0
394,720.0
395,775.0
396,754.0
397,833.0
398,631.0
399,753.0
400,801.0
401,735.0
402,807.0
403,686.0
404,793.0
405,716.0
406,751.0
407,738.0
408,753.0
409,803.0
410,705.0
411,747.0
412,764.0
413,760.0
414,777.0
415,742.0
416,720.0
417,758.0
418,823.0
419,840.0
420,759.0
421,794.0
422,807.0
423,707.0
424,758.0
425,851.0
426,810.0
427,807.0
428,711.0
429,797.0
430,783.0
431,786.0
432,734.0
433,717.0
434,703.0
435,729.0
436,729.0
437,807.0
438,598.0
439,616.0
440,832.0
441,776.0
442,803.0
443,711.0
444,745.0
445,595.0
446,796.0
447,731.0
448,755.0
449,763.0
450,668.0
451,715.0
452,650.0
453,694.0
454,773.0
455,710.0
456,784.0
457,835.0
458,748.0
459,803.0
460,756.0
461,813.0
462,781.0
463,839.0
464,795.0
465,836.0
466,723.0
467,803.0
468,690.0
469,727.0
470,669.0
471,754.0
472,730.0
473,783.0
474,728.0
475,729.0
476,789.0
477,729.0
478,744.0
479,788.0
480,786.0
481,759.0
482,793.0
483,761.0
484,667.0
485,808.0
486,732.0
487,784.0
488,804.0
489,664.0
490,817.0
491,660.0
492,743.0
493,746.0
494,812.0
495,700.0
496,738.0
497,792.0
498,836.0
499,646.0
500,799.0
501,774.0
502,810.0
503,744.0
504,623.0
505,780.0
506,766.0
507,810.0
508,725.0
509,799.0
510,792.0
511,736.0
512,768.0
513,757.0
514,680.0
515,765.0
516,769.0
517,738.0
518,720.0
519,771.0
520,718.0
521,684.0
522,720.0
523,730.0
524,734.0
525,820.0
526,722.0
527,705.0
528,664.0
529,808.0
530,717.0
531,745.0
532,734.0
533,796.0
534,684.0
535,760.0
536,734.0
537,746.0
538,710.0
539,832.0
540,786.0
541,755.0
542,710.0
543,742.0
544,780.0
545,778.0
546,730.0
547,800.0
548,696.0
549,771.0
550,777.0
551,781.0
552,768.0
553,806.0
554,798.0
555,745.0
556,766.0
557,806.0
558,725.0
559,752.0
560,758.0
561,751.0
562,835.0
563,849.0
564,792.0
565,844.0
566,745.0
567,755.0
568,787.0
569,801.0
570,736.0
571,801.0
572,770.0
573,717.0
574,796.0
575,649.0
576,759.0
577,766.0
578,746.0
579,722.0
580,634.0
581,863.0
582,814.0
583,782.0
584,789.0
585,728.0
586,764.0
587,668.0
588,814.0
589,779.0
590,711.0
591,788.0
592,786.0
593,722.0
594,703.0
595,769.0
596,731.0
597,724.0
598,773.0
599,668.0
600,610.0
601,656.0
602,782.0
603,668.0
604,730.0
605,812.0
606,731.0
607,779.0
608,724.0
609,791.0
610,748.0
611,779.0
612,788.0
613,785.0
614,845.0
615,731.0
616,751.0
617,769.0
618,823.0
619,799.0
620,734.0
621,825.0
622,827.0
623,807.0
624,815.0
625,751.0
626,688.0
627,712.0
628,818.0
629,650.0
630,697.0
631,808.0
632,794.0
633,783.0
634,630.0
635,796.0
636,790.0
637,624.0
638,741.0
639,770.0
640,731.0
641,723.0
642,789.0
643,760.0
644,741.0
645,797.0
646,803.0
647,722.0
648,769.0
649,793.0
650,789.0
651,709.0
652,776.0
653,817.0
654,787.0
655,738.0
656,818.0
657,797.0
658,766.0
659,807.0
660,706.0
661,775.0
662,743.0
663,717.0
664,750.0
665,817.0
666,747.0
667,772.0
668,780.0
669,736.0
670,613.0
671,675.0
672,700.0
673,772.0
674,813.0
675,744.0
676,794.0
677,754.0
678,766.0
679,739.0
680,746.0
681,821.0
682,652.0
683,803.0
684,785.0
685,810.0
686,667.0
687,777.0
688,738.0
689,788.0
690,791.0
691,820.0
692,777.0
693,840.0
694,686.0
695,721.0
696,683.0
697,745.0
698,831.0
699,740.0
700,801.0
701,732.0
702,685.0
703,804.0
704,817.0
705,794.0
706,767.0
707,744.0
708,800.0
709,735.0
710,782.0
711,729.0
712,789.0
713,698.0
714,846.0
715,759.0
716,695.0
717,770.0
718,756.0
719,828.0
720,746.0
721,730.0
722,693.0
723,764.0
724,766.0
725,759.0
726,824.0
727,677.0
728,796.0
729,741.0
730,775.0
731,765.0
732,774.0
733,786.0
734,801.0
735,781.0
736,736.0
737,693.0
738,708.0
739,792.0
740,706.0
741,823.0
742,761.0
743,807.0
744,804.0
745,825.0
746,724.0
747,793.0
748,662.0
749,811.0
750,787.0
751,764.0
752,707.0
753,850.0
754,819.0
755,779.0
756,781.0
757,781.0
758,813.0
759,745.0
760,800.0
761,747.0
762,759.0
763,664.0
764,818.0
765,810.0
766,809.0
767,757.0
768,835.0
769,724.0
770,728.0
771,738.0
772,742.0
773,816.0
774,762.0
775,829.0
776,803.0
777,729.0
778,823.0
779,797.0
780,788.0
781,837.0
782,824.0
783,802.0
784,773.0
785,716.0
786,779.0
787,742.0
788,721.0
789,743.0
790,791.0
791,667.0
792,746.0
793,786.0
794,803.0
795,785.0
796,767.0
797,816.0
798,740.0
799,735.0
800,728.0
801,757.0
802,820.0
803,730.0
804,727.0
805,821.0
806,866.0
807,723.0
808,795.0
809,802.0
810,729.0
811,837.0
812,765.0
813,742.0
814,802.0
815,817.0
816,784.0
817,754.0
818,801.0
819,692.0
820,839.0
821,734.0
822,727.0
823,821.0
824,790.0
825,817.0
826,786.0
827,813.0
828,777.0
829,729.0
830,786.0
831,702.0
832,741.0
833,812.0
834,720.0
835,721.0
836,785.0
837,728.0
838,774.0
839,668.0
840,844.0
841,804.0
842,760.0
843,686.0
844,745.0
845,626.0
846,740.0
847,727.0
848,827.0
849,752.0
850,773.0
851,761.0
852,698.0
853,792.0
854,782.0
855,699.0
856,768.0
857,729.0
858,725.0
859,741.0
860,776.0
861,764.0
862,740.0
863,810.0
864,774.0
865,833.0
866,781.0
867,764.0
868,831.0
869,734.0
870,769.0
871,783.0
872,741.0
873,754.0
874,815.0
875,800.0
876,741.0
877,654.0
878,749.0
879,722.0
880,710.0
881,738.0
882,830.0
883,816.0
884,776.0
885,841.0
886,785.0
887,753.0
888,737.0
889,730.0
890,763.0
891,787.0
892,802.0
893,798.0
894,782.0
895,758.0
896,834.0
897,684.0
898,835.0
899,839.0
900,725.0
901,681.0
902,715.0
903,728.0
904,751.0
905,719.0
906,693.0
907,745.0
908,785.0
909,825.0
910,693.0
911,634.0
912,776.0
913,664.0
914,815.0
915,826.0
916,779.0
917,823.0
918,765.0
919,780.0
920,735.0
921,790.0
922,610.0
923,788.0
924,803.0
925,784.0
926,755.0
927,637.0
928,728.0
929,785.0
930,778.0
931,804.0
932,766.0
933,809.0
934,701.0
935,623.0
936,846.0
937,632.0
938,726.0
939,713.0
940,690.0
941,805.0
942,809.0
943,813.0
944,831.0
945,759.0
946,777.0
947,824.0
948,866.0
949,820.0
950,786.0
951,764.0
952,741.0
953,785.0
954,796.0
955,809.0
956,780.0
957,811.0
958,692.0
959,696.0
960,804.0
961,611.0
962,771.0
963,719.0
964,721.0
965,826.0
966,839.0
967,821.0
968,800.0
969,741.0
970,727.0
971,849.0
