,piece_counts_sum
0,182.0
1,261.0
2,473.0
3,297.0
4,355.0
5,506.0
6,448.0
7,291.0
8,305.0
9,228.0
10,489.0
11,406.0
12,443.0
13,373.0
14,296.0
15,378.0
16,227.0
17,418.0
18,208.0
19,331.0
20,370.0
21,391.0
22,216.0
23,354.0
24,254.0
25,355.0
26,275.0
27,272.0
28,458.0
29,378.0
30,359.0
31,220.0
32,300.0
33,358.0
34,245.0
35,375.0
36,418.0
37,152.0
38,331.0
39,289.0
40,194.0
41,253.0
42,308.0
43,404.0
44,289.0
45,278.0
46,287.0
47,315.0
48,338.0
49,353.0
50,269.0
51,225.0
52,263.0
53,317.0
54,408.0
55,168.0
56,293.0
57,326.0
58,290.0
59,354.0
60,401.0
61,343.0
62,307.0
63,201.0
64,278.0
65,314.0
66,467.0
67,399.0
68,127.0
69,401.0
70,448.0
71,488.0
72,229.0
73,369.0
74,420.0
75,244.0
76,290.0
77,368.0
78,217.0
79,239.0
80,445.0
81,250.0
82,270.0
83,276.0
84,237.0
85,447.0
86,466.0
87,285.0
88,287.0
89,346.0
90,254.0
91,250.0
92,402.0
93,349.0
94,344.0
95,267.0
96,264.0
97,209.0
98,344.0
99,394.0
100,421.0
101,254.0
102,442.0
103,411.0
104,460.0
105,200.0
106,335.0
107,173.0
108,431.0
109,390.0
110,292.0
111,319.0
112,398.0
113,416.0
114,384.0
115,425.0
116,289.0
117,401.0
118,417.0
119,230.0
120,282.0
121,327.0
122,356.0
123,229.0
124,448.0
125,292.0
126,244.0
127,241.0
128,217.0
129,289.0
130,391.0
131,269.0
132,464.0
133,423.0
134,214.0
135,293.0
136,208.0
137,261.0
138,393.0
139,264.0
140,275.0
141,249.0
142,431.0
143,275.0
144,388.0
145,483.0
146,421.0
147,258.0
148,282.0
149,378.0
150,413.0
151,377.0
152,438.0
153,327.0
154,366.0
155,414.0
156,246.0
157,293.0
158,406.0
159,343.0
160,272.0
161,282.0
162,252.0
163,214.0
164,233.0
165,241.0
166,476.0
167,458.0
168,269.0
169,429.0
170,332.0
171,359.0
172,473.0
173,440.0
174,376.0
175,299.0
176,270.0
177,257.0
178,245.0
179,263.0
180,342.0
181,450.0
182,341.0
183,208.0
184,283.0
185,256.0
186,251.0
187,454.0
188,279.0
189,221.0
190,238.0
191,373.0
192,308.0
193,423.0
194,409.0
195,492.0
196,336.0
197,355.0
198,429.0
199,342.0
200,415.0
201,479.0
202,287.0
203,438.0
204,351.0
205,410.0
206,353.0
207,388.0
208,376.0
209,199.0
210,331.0
211,178.0
212,382.0
213,175.0
214,348.0
215,415.0
216,256.0
217,407.0
218,395.0
219,398.0
220,274.0
221,408.0
222,326.0
223,264.0
224,440.0
225,434.0
226,326.0
227,350.0
228,346.0
229,372.0
230,435.0
231,224.0
232,406.0
233,226.0
234,286.0
235,453.0
236,451.0
237,372.0
238,271.0
239,296.0
240,396.0
241,489.0
242,360.0
243,400.0
244,250.0
245,452.0
246,455.0
247,446.0
248,230.0
249,307.0
250,286.0
251,330.0
252,206.0
253,347.0
254,407.0
255,261.0
256,394.0
257,447.0
258,285.0
259,226.0
260,357.0
261,384.0
262,372.0
263,414.0
264,437.0
265,381.0
266,272.0
267,413.0
268,302.0
269,405.0
270,421.0
271,405.0
272,231.0
273,314.0
274,183.0
275,413.0
276,474.0
277,434.0
278,435.0
279,384.0
280,425.0
281,289.0
282,375.0
283,440.0
284,298.0
285,296.0
286,327.0
287,467.0
288,241.0
289,322.0
290,317.0
291,413.0
292,285.0
293,297.0
294,435.0
295,367.0
296,386.0
297,334.0
298,265.0
299,395.0
300,357.0
301,347.0
302,446.0
303,447.0
304,399.0
305,395.0
306,382.0
307,439.0
308,401.0
309,471.0
310,427.0
311,364.0
312,312.0
313,309.0
314,281.0
315,352.0
316,304.0
317,304.0
318,356.0
319,403.0
320,434.0
321,426.0
322,311.0
323,438.0
324,483.0
325,242.0
326,316.0
327,198.0
328,337.0
329,319.0
330,286.0
331,483.0
332,420.0
333,429.0
334,145.0
335,308.0
336,408.0
337,251.0
338,445.0
339,265.0
340,381.0
341,429.0
342,352.0
343,363.0
344,299.0
345,285.0
346,316.0
347,401.0
348,222.0
349,265.0
350,183.0
351,435.0
352,272.0
353,289.0
354,344.0
355,266.0
356,474.0
357,321.0
358,274.0
359,204.0
360,338.0
361,416.0
362,362.0
363,207.0
364,283.0
365,258.0
366,302.0
367,319.0
368,366.0
369,397.0
370,202.0
371,239.0
372,454.0
373,238.0
374,379.0
375,342.0
376,434.0
377,215.0
378,370.0
379,220.0
380,265.0
381,484.0
382,283.0
383,275.0
384,444.0
385,244.0
386,438.0
387,365.0
388,241.0
389,313.0
390,428.0
391,225.0
392,225.0
393,455.0
394,435.0
395,406.0
396,451.0
397,203.0
398,234.0
399,254.0
400,254.0
401,353.0
402,404.0
403,469.0
404,450.0
405,279.0
406,252.0
407,234.0
408,247.0
409,460.0
410,270.0
411,436.0
412,364.0
413,242.0
414,280.0
415,457.0
416,391.0
417,419.0
418,294.0
419,335.0
420,359.0
421,171.0
422,330.0
423,366.0
424,339.0
425,247.0
426,249.0
427,453.0
428,402.0
429,441.0
430,518.0
431,488.0
432,333.0
433,177.0
434,331.0
435,363.0
436,359.0
437,193.0
438,337.0
439,349.0
440,389.0
441,360.0
442,256.0
443,480.0
444,429.0
445,273.0
446,270.0
447,207.0
448,276.0
449,291.0
450,217.0
451,291.0
452,206.0
453,340.0
454,424.0
455,249.0
456,184.0
457,355.0
458,287.0
459,381.0
460,242.0
461,430.0
462,441.0
463,489.0
464,468.0
465,455.0
466,269.0
467,366.0
468,314.0
469,260.0
470,231.0
471,457.0
472,171.0
473,355.0
474,445.0
475,527.0
476,490.0
477,321.0
478,443.0
479,278.0
480,321.0
481,282.0
482,497.0
483,344.0
484,231.0
485,471.0
486,158.0
487,313.0
488,340.0
489,307.0
490,444.0
491,258.0
492,406.0
493,170.0
494,369.0
495,498.0
496,475.0
497,352.0
498,220.0
499,339.0
500,309.0
501,207.0
502,413.0
503,422.0
504,482.0
505,464.0
506,362.0
507,332.0
508,409.0
509,241.0
510,416.0
511,475.0
512,263.0
513,305.0
514,425.0
515,398.0
516,245.0
517,264.0
518,279.0
519,274.0
520,445.0
521,483.0
522,241.0
523,493.0
524,216.0
525,435.0
526,318.0
527,311.0
528,406.0
529,502.0
530,493.0
531,437.0
532,314.0
533,326.0
534,446.0
535,436.0
536,291.0
537,294.0
538,443.0
539,426.0
540,389.0
541,354.0
542,505.0
543,399.0
544,451.0
545,395.0
546,426.0
547,311.0
548,330.0
549,360.0
550,271.0
551,456.0
552,370.0
553,226.0
554,244.0
555,502.0
556,261.0
557,253.0
558,232.0
559,442.0
560,439.0
561,455.0
562,449.0
563,219.0
564,425.0
565,478.0
566,164.0
567,347.0
568,402.0
569,401.0
570,253.0
571,297.0
572,382.0
573,280.0
574,338.0
575,410.0
576,460.0
577,427.0
578,454.0
579,385.0
580,399.0
581,375.0
582,179.0
583,345.0
584,308.0
585,448.0
586,270.0
587,154.0
588,336.0
589,364.0
590,412.0
591,196.0
592,401.0
593,340.0
594,251.0
595,289.0
596,267.0
597,265.0
598,291.0
599,199.0
600,326.0
601,418.0
602,226.0
603,302.0
604,190.0
605,384.0
606,233.0
607,323.0
608,203.0
609,432.0
610,517.0
611,495.0
612,447.0
613,305.0
614,377.0
615,181.0
616,336.0
617,143.0
618,326.0
619,426.0
620,415.0
621,349.0
622,329.0
623,433.0
624,208.0
625,425.0
626,424.0
627,304.0
628,494.0
629,356.0
630,475.0
631,235.0
632,391.0
633,303.0
634,311.0
635,410.0
636,444.0
637,251.0
638,348.0
639,297.0
640,250.0
641,272.0
642,290.0
643,435.0
644,298.0
645,245.0
646,303.0
647,290.0
648,371.0
649,273.0
650,492.0
651,260.0
652,315.0
653,375.0
654,468.0
655,455.0
656,371.0
657,453.0
658,177.0
659,303.0
660,342.0
661,427.0
662,382.0
663,388.0
664,196.0
665,234.0
666,378.0
667,330.0
668,187.0
669,332.0
670,236.0
671,289.0
672,381.0
673,244.0
674,303.0
675,365.0
676,366.0
677,400.0
678,262.0
679,219.0
680,305.0
681,379.0
682,207.0
683,308.0
684,443.0
685,240.0
686,359.0
687,441.0
688,267.0
689,300.0
690,360.0
691,291.0
692,354.0
693,214.0
694,291.0
695,161.0
696,331.0
697,394.0
698,347.0
699,277.0
700,321.0
701,275.0
702,262.0
703,221.0
704,255.0
705,376.0
706,330.0
707,256.0
708,217.0
709,339.0
710,344.0
711,301.0
712,285.0
713,319.0
714,311.0
715,453.0
716,300.0
717,267.0
718,314.0
719,400.0
720,452.0
721,202.0
722,485.0
723,461.0
724,481.0
725,247.0
726,314.0
727,326.0
728,500.0
729,147.0
730,342.0
731,454.0
732,362.0
733,408.0
734,402.0
735,404.0
736,251.0
737,298.0
738,438.0
739,283.0
740,276.0
741,282.0
742,436.0
743,468.0
744,242.0
745,264.0
746,305.0
747,416.0
748,346.0
749,261.0
750,467.0
751,460.0
752,256.0
753,228.0
754,486.0
755,432.0
756,354.0
757,423.0
758,208.0
759,423.0
760,374.0
761,289.0
762,379.0
763,241.0
764,282.0
765,256.0
766,233.0
767,241.0
768,392.0
769,310.0
770,418.0
771,334.0
772,459.0
773,314.0
774,299.0
775,373.0
776,215.0
777,261.0
778,430.0
779,383.0
780,331.0
781,226.0
782,306.0
783,224.0
784,317.0
785,276.0
786,343.0
787,451.0
788,421.0
789,470.0
790,371.0
791,218.0
792,422.0
793,318.0
794,440.0
795,211.0
796,322.0
797,407.0
798,366.0
799,314.0
800,353.0
801,485.0
802,276.0
803,238.0
804,290.0
805,391.0
806,234.0
807,246.0
808,303.0
809,425.0
810,308.0
811,286.0
812,363.0
813,217.0
814,443.0
815,243.0
816,329.0
817,268.0
818,260.0
819,478.0
820,410.0
821,284.0
822,281.0
823,227.0
824,266.0
825,231.0
826,290.0
827,346.0
828,322.0
829,457.0
830,412.0
831,217.0
832,295.0
833,370.0
834,301.0
835,195.0
836,322.0
837,347.0
838,311.0
839,351.0
840,464.0
841,189.0
842,467.0
843,413.0
844,299.0
845,316.0
846,481.0
847,351.0
848,248.0
849,420.0
850,401.0
851,304.0
852,422.0
853,253.0
854,399.0
855,339.0
856,436.0
857,396.0
858,387.0
859,378.0
860,399.0
861,447.0
862,438.0
863,175.0
864,399.0
865,291.0
866,317.0
867,394.0
868,444.0
869,261.0
870,445.0
871,270.0
872,280.0
873,329.0
874,331.0
875,475.0
876,297.0
877,341.0
878,371.0
879,236.0
880,228.0
881,421.0
882,376.0
883,414.0
884,413.0
885,277.0
886,258.0
887,347.0
888,495.0
889,443.0
890,241.0
891,247.0
892,422.0
893,341.0
894,252.0
895,261.0
896,479.0
897,472.0
898,418.0
899,192.0
900,300.0
901,366.0
902,283.0
903,413.0
904,334.0
905,446.0
906,259.0
907,459.0
908,460.0
909,315.0
910,423.0
911,414.0
912,427.0
913,443.0
914,451.0
915,295.0
916,293.0
917,299.0
918,433.0
919,255.0
920,422.0
921,391.0
922,307.0
923,414.0
924,429.0
925,212.0
926,217.0
927,299.0
928,229.0
929,472.0
930,460.0
931,225.0
932,291.0
933,391.0
934,204.0
935,297.0
936,300.0
937,405.0
938,343.0
939,408.0
940,273.0
941,367.0
942,338.0
943,292.0
944,417.0
945,459.0
946,199.0
947,368.0
948,357.0
949,212.0
950,257.0
951,415.0
952,247.0
953,479.0
954,419.0
955,272.0
956,417.0
957,447.0
958,293.0
959,483.0
960,371.0
961,222.0
962,240.0
963,394.0
964,290.0
965,432.0
966,349.0
967,398.0
968,297.0
969,405.0
970,369.0
971,364.0
972,418.0
973,467.0
974,187.0
975,328.0
976,367.0
977,206.0
978,275.0
979,373.0
980,179.0
981,302.0
982,414.0
983,432.0
984,305.0
985,354.0
986,403.0
987,351.0
988,257.0
989,346.0
990,473.0
991,199.0
992,302.0
993,307.0
994,287.0
995,434.0
996,213.0
997,421.0
998,389.0
999,339.0
1000,311.0
1001,436.0
1002,238.0
1003,278.0
1004,248.0
1005,457.0
1006,413.0
1007,184.0
1008,248.0
1009,328.0
1010,442.0
1011,305.0
1012,364.0
1013,268.0
1014,284.0
1015,340.0
1016,438.0
1017,371.0
1018,238.0
1019,273.0
1020,253.0
1021,280.0
1022,262.0
1023,394.0
1024,320.0
1025,372.0
1026,418.0
1027,464.0
1028,333.0
1029,248.0
1030,295.0
1031,281.0
1032,396.0
1033,402.0
1034,380.0
1035,293.0
1036,259.0
1037,236.0
1038,292.0
1039,431.0
1040,302.0
1041,402.0
1042,426.0
1043,252.0
1044,513.0
1045,496.0
1046,369.0
1047,392.0
1048,393.0
1049,446.0
1050,488.0
1051,405.0
1052,456.0
1053,285.0
1054,269.0
1055,236.0
1056,474.0
1057,286.0
1058,194.0
1059,336.0
1060,417.0
1061,209.0
1062,254.0
1063,488.0
1064,417.0
1065,407.0
1066,412.0
1067,421.0
1068,207.0
1069,252.0
1070,287.0
1071,385.0
1072,268.0
1073,286.0
1074,387.0
1075,245.0
1076,286.0
1077,309.0
1078,387.0
1079,201.0
1080,299.0
1081,403.0
1082,229.0
1083,274.0
1084,404.0
1085,409.0
1086,392.0
1087,369.0
1088,448.0
1089,162.0
1090,291.0
1091,282.0
1092,439.0
1093,253.0
1094,328.0
1095,298.0
1096,372.0
1097,420.0
1098,463.0
1099,357.0
1100,338.0
1101,168.0
1102,470.0
1103,229.0
1104,402.0
1105,370.0
1106,414.0
1107,311.0
1108,422.0
1109,212.0
1110,411.0
1111,452.0
1112,403.0
1113,362.0
1114,346.0
1115,222.0
1116,165.0
1117,354.0
1118,184.0
1119,332.0
1120,267.0
1121,474.0
1122,364.0
1123,319.0
1124,446.0
1125,294.0
1126,377.0
1127,340.0
1128,374.0
1129,237.0
1130,250.0
1131,398.0
1132,422.0
1133,268.0
1134,232.0
1135,457.0
1136,486.0
1137,408.0
1138,260.0
1139,481.0
1140,375.0
1141,404.0
1142,293.0
1143,347.0
1144,275.0
1145,516.0
1146,250.0
1147,494.0
1148,350.0
1149,452.0
1150,314.0
1151,441.0
1152,451.0
1153,346.0
1154,442.0
1155,306.0
1156,480.0
1157,294.0
1158,407.0
1159,249.0
1160,399.0
1161,385.0
1162,473.0
1163,263.0
1164,409.0
1165,174.0
1166,364.0
1167,462.0
1168,476.0
1169,231.0
1170,466.0
1171,279.0
1172,329.0
1173,210.0
1174,297.0
1175,451.0
1176,432.0
1177,394.0
1178,362.0
1179,266.0
1180,215.0
1181,283.0
1182,456.0
1183,366.0
1184,377.0
1185,299.0
1186,315.0
1187,432.0
1188,298.0
1189,459.0
1190,397.0
1191,232.0
1192,235.0
1193,434.0
1194,217.0
1195,424.0
1196,366.0
1197,479.0
1198,411.0
1199,328.0
1200,371.0
1201,465.0
1202,396.0
1203,466.0
1204,303.0
1205,312.0
1206,290.0
1207,301.0
1208,369.0
1209,384.0
1210,404.0
1211,456.0
1212,388.0
1213,199.0
1214,325.0
1215,368.0
1216,402.0
1217,233.0
1218,298.0
1219,244.0
1220,292.0
1221,415.0
1222,381.0
1223,282.0
1224,383.0
1225,398.0
1226,368.0
1227,159.0
1228,324.0
1229,312.0
1230,337.0
1231,326.0
1232,193.0
1233,313.0
1234,415.0
1235,232.0
1236,306.0
1237,261.0
1238,402.0
1239,479.0
1240,401.0
1241,198.0
1242,287.0
1243,210.0
1244,309.0
1245,199.0
1246,325.0
1247,292.0
1248,214.0
1249,237.0
1250,219.0
1251,244.0
1252,266.0
1253,394.0
1254,265.0
1255,263.0
1256,296.0
1257,272.0
1258,486.0
1259,273.0
1260,512.0
1261,495.0
1262,329.0
1263,223.0
1264,259.0
1265,477.0
1266,331.0
1267,363.0
1268,404.0
1269,451.0
1270,381.0
1271,246.0
1272,241.0
1273,272.0
1274,201.0
1275,278.0
1276,311.0
1277,420.0
1278,290.0
1279,405.0
1280,233.0
1281,253.0
1282,242.0
1283,433.0
1284,440.0
1285,204.0
1286,445.0
1287,270.0
1288,270.0
1289,232.0
1290,401.0
1291,248.0
1292,455.0
1293,199.0
1294,419.0
1295,390.0
1296,333.0
1297,415.0
1298,222.0
1299,251.0
1300,470.0
1301,447.0
1302,208.0
1303,315.0
1304,238.0
1305,382.0
1306,326.0
1307,279.0
1308,307.0
1309,238.0
1310,224.0
1311,284.0
1312,246.0
1313,296.0
1314,282.0
1315,441.0
1316,485.0
1317,293.0
1318,455.0
1319,391.0
1320,441.0
1321,420.0
1322,307.0
1323,413.0
1324,335.0
1325,449.0
1326,398.0
1327,332.0
1328,321.0
1329,175.0
1330,216.0
1331,397.0
1332,177.0
1333,334.0
1334,283.0
1335,230.0
1336,444.0
1337,405.0
1338,180.0
1339,313.0
1340,478.0
1341,324.0
1342,200.0
1343,278.0
1344,438.0
1345,411.0
1346,457.0
1347,384.0
1348,287.0
1349,412.0
1350,410.0
1351,435.0
1352,179.0
1353,363.0
1354,444.0
1355,281.0
1356,312.0
1357,435.0
1358,437.0
1359,447.0
1360,405.0
1361,481.0
1362,361.0
1363,380.0
1364,502.0
1365,207.0
1366,277.0
1367,271.0
1368,291.0
1369,442.0
1370,253.0
1371,252.0
1372,211.0
1373,489.0
1374,216.0
1375,342.0
1376,374.0
1377,486.0
1378,424.0
1379,415.0
1380,350.0
1381,223.0
1382,303.0
1383,325.0
1384,217.0
1385,312.0
1386,449.0
1387,474.0
1388,284.0
1389,215.0
1390,305.0
1391,358.0
1392,416.0
1393,270.0
1394,412.0
1395,345.0
1396,505.0
1397,190.0
1398,274.0
1399,155.0
1400,274.0
1401,463.0
1402,501.0
1403,364.0
1404,468.0
1405,477.0
1406,239.0
1407,296.0
1408,487.0
1409,315.0
1410,356.0
1411,397.0
1412,350.0
1413,305.0
1414,393.0
1415,430.0
1416,406.0
1417,465.0
1418,417.0
1419,399.0
1420,461.0
1421,319.0
1422,427.0
1423,292.0
1424,405.0
1425,395.0
1426,331.0
1427,380.0
1428,450.0
1429,358.0
1430,424.0
1431,373.0
1432,386.0
1433,352.0
1434,397.0
1435,193.0
1436,316.0
1437,418.0
1438,393.0
1439,235.0
1440,380.0
1441,335.0
1442,284.0
1443,373.0
1444,286.0
1445,194.0
1446,261.0
1447,209.0
1448,284.0
1449,433.0
1450,375.0
1451,440.0
1452,397.0
1453,385.0
1454,343.0
1455,451.0
1456,435.0
1457,430.0
1458,367.0
1459,275.0
1460,298.0
1461,288.0
1462,458.0
1463,409.0
1464,284.0
1465,320.0
1466,436.0
1467,216.0
1468,374.0
1469,421.0
1470,393.0
1471,288.0
1472,448.0
1473,320.0
1474,299.0
1475,452.0
1476,334.0
1477,445.0
1478,384.0
1479,225.0
1480,300.0
1481,409.0
1482,249.0
1483,363.0
1484,277.0
1485,252.0
1486,216.0
1487,298.0
1488,258.0
1489,489.0
1490,226.0
1491,440.0
1492,317.0
1493,196.0
1494,353.0
1495,403.0
1496,299.0
1497,418.0
1498,330.0
1499,177.0
1500,325.0
1501,481.0
1502,425.0
1503,458.0
1504,251.0
1505,377.0
1506,250.0
1507,405.0
1508,354.0
1509,295.0
1510,388.0
1511,271.0
1512,227.0
1513,320.0
1514,463.0
1515,184.0
1516,225.0
1517,421.0
1518,237.0
1519,354.0
1520,325.0
1521,358.0
1522,347.0
1523,178.0
1524,288.0
1525,305.0
1526,424.0
1527,471.0
1528,353.0
1529,398.0
1530,384.0
1531,246.0
1532,206.0
1533,397.0
1534,436.0
1535,404.0
