,piece_counts_sum
0,449.0
1,427.0
2,403.0
3,452.0
4,495.0
5,466.0
6,402.0
7,502.0
8,526.0
9,412.0
10,479.0
11,426.0
12,337.0
13,436.0
14,458.0
15,456.0
16,505.0
17,434.0
18,550.0
19,436.0
20,498.0
21,440.0
22,443.0
23,449.0
24,480.0
25,534.0
26,436.0
27,491.0
28,519.0
29,480.0
30,442.0
31,383.0
32,490.0
33,443.0
34,361.0
35,467.0
36,498.0
37,546.0
38,475.0
39,393.0
40,435.0
41,457.0
42,525.0
43,374.0
44,537.0
45,530.0
46,331.0
47,382.0
48,454.0
49,505.0
50,457.0
51,481.0
52,479.0
53,523.0
54,435.0
55,321.0
56,348.0
57,388.0
58,456.0
59,506.0
60,556.0
61,487.0
62,474.0
63,456.0
64,456.0
65,499.0
66,420.0
67,433.0
68,401.0
69,502.0
70,383.0
71,474.0
72,491.0
73,440.0
74,498.0
75,558.0
76,442.0
77,472.0
78,387.0
79,457.0
80,463.0
81,487.0
82,437.0
83,406.0
84,391.0
85,494.0
86,520.0
87,515.0
88,482.0
89,491.0
90,443.0
91,466.0
92,402.0
93,438.0
94,532.0
95,468.0
96,464.0
97,363.0
98,413.0
99,471.0
100,419.0
101,453.0
102,488.0
103,514.0
104,427.0
105,526.0
106,346.0
107,493.0
108,529.0
109,462.0
110,557.0
111,405.0
112,409.0
113,450.0
114,551.0
115,423.0
116,421.0
117,543.0
118,444.0
119,484.0
120,535.0
121,418.0
122,572.0
123,451.0
124,522.0
125,466.0
126,440.0
127,478.0
128,536.0
129,523.0
130,381.0
131,468.0
132,491.0
133,436.0
134,362.0
135,509.0
136,473.0
137,436.0
138,407.0
139,427.0
140,483.0
141,510.0
142,448.0
143,474.0
144,525.0
145,464.0
146,564.0
147,520.0
148,469.0
149,499.0
150,461.0
151,534.0
152,337.0
153,339.0
154,435.0
155,453.0
156,450.0
157,366.0
158,469.0
159,528.0
160,418.0
161,388.0
162,516.0
163,556.0
164,454.0
165,464.0
166,410.0
167,437.0
168,394.0
169,513.0
170,524.0
171,423.0
172,474.0
173,549.0
174,463.0
175,459.0
176,481.0
177,399.0
178,412.0
179,427.0
180,351.0
181,391.0
182,442.0
183,542.0
184,406.0
185,530.0
186,366.0
187,383.0
188,446.0
189,459.0
190,417.0
191,367.0
192,450.0
193,439.0
194,551.0
195,519.0
196,561.0
197,418.0
198,515.0
199,338.0
200,462.0
201,472.0
202,463.0
203,491.0
204,503.0
205,505.0
206,362.0
207,368.0
208,453.0
209,429.0
210,409.0
211,355.0
212,486.0
213,469.0
214,541.0
215,388.0
216,494.0
217,408.0
218,481.0
219,456.0
220,509.0
221,416.0
222,422.0
223,477.0
224,464.0
225,395.0
226,448.0
227,427.0
228,498.0
229,448.0
230,386.0
231,546.0
232,340.0
233,548.0
234,457.0
235,413.0
236,545.0
237,368.0
238,541.0
239,551.0
240,386.0
241,442.0
242,509.0
243,420.0
244,448.0
245,501.0
246,496.0
247,482.0
248,510.0
249,455.0
250,475.0
251,461.0
252,533.0
253,353.0
254,456.0
255,530.0
256,459.0
257,563.0
258,357.0
259,491.0
260,413.0
261,412.0
262,527.0
263,488.0
264,457.0
265,426.0
266,414.0
267,393.0
268,493.0
269,497.0
270,504.0
271,554.0
272,459.0
273,441.0
274,421.0
