,piece_counts_sum
0,296.0
1,353.0
2,341.0
3,322.0
4,311.0
5,312.0
6,313.0
7,347.0
8,187.0
9,234.0
10,407.0
11,326.0
12,270.0
13,366.0
14,413.0
15,323.0
16,228.0
17,312.0
18,225.0
19,240.0
20,293.0
21,332.0
22,352.0
23,358.0
24,347.0
25,379.0
26,275.0
27,348.0
28,371.0
29,346.0
30,290.0
31,271.0
32,307.0
33,355.0
34,280.0
35,362.0
36,309.0
37,331.0
38,330.0
39,311.0
40,282.0
41,334.0
42,322.0
43,260.0
44,304.0
45,345.0
46,356.0
47,305.0
48,293.0
49,239.0
50,266.0
51,345.0
52,251.0
53,310.0
54,356.0
55,332.0
56,316.0
57,304.0
58,320.0
59,279.0
60,306.0
61,288.0
62,313.0
63,345.0
64,175.0
65,305.0
66,248.0
67,295.0
68,314.0
69,317.0
70,364.0
71,342.0
72,298.0
73,386.0
74,366.0
75,374.0
76,270.0
77,404.0
78,222.0
79,309.0
80,365.0
81,388.0
82,301.0
83,340.0
84,359.0
85,366.0
86,307.0
87,191.0
88,332.0
89,361.0
90,384.0
91,332.0
92,357.0
93,350.0
94,282.0
95,287.0
96,270.0
97,316.0
98,325.0
99,208.0
100,326.0
101,357.0
102,314.0
103,328.0
104,325.0
105,297.0
106,310.0
107,291.0
108,300.0
109,323.0
110,236.0
111,272.0
112,308.0
113,342.0
114,368.0
115,308.0
116,289.0
117,342.0
118,276.0
119,331.0
120,330.0
121,288.0
122,246.0
123,272.0
124,358.0
125,359.0
126,244.0
127,330.0
128,319.0
129,348.0
130,316.0
131,306.0
132,313.0
133,322.0
134,138.0
135,347.0
136,334.0
137,386.0
138,322.0
139,328.0
140,344.0
141,177.0
142,295.0
143,356.0
144,243.0
145,353.0
146,298.0
147,327.0
148,344.0
149,313.0
150,344.0
151,335.0
152,318.0
153,309.0
154,234.0
155,261.0
156,295.0
157,320.0
158,241.0
159,346.0
160,390.0
161,321.0
162,278.0
163,310.0
164,310.0
165,306.0
166,291.0
167,315.0
168,260.0
169,317.0
170,263.0
171,253.0
172,320.0
173,353.0
174,376.0
175,295.0
176,315.0
177,306.0
178,312.0
179,333.0
180,220.0
181,260.0
182,273.0
183,330.0
184,330.0
185,266.0
186,366.0
187,296.0
188,330.0
189,385.0
190,262.0
191,367.0
192,274.0
193,256.0
194,307.0
195,220.0
196,309.0
197,222.0
198,238.0
199,304.0
200,304.0
201,345.0
202,309.0
203,372.0
204,304.0
205,365.0
206,296.0
207,307.0
208,343.0
209,373.0
210,322.0
211,302.0
212,329.0
213,318.0
214,289.0
215,324.0
216,309.0
217,277.0
218,278.0
219,258.0
220,269.0
221,314.0
222,266.0
223,335.0
224,217.0
225,283.0
226,321.0
227,287.0
228,352.0
229,344.0
230,281.0
231,329.0
232,341.0
233,264.0
234,320.0
235,307.0
236,378.0
237,232.0
238,265.0
239,339.0
240,312.0
241,340.0
242,368.0
243,313.0
244,286.0
245,216.0
246,237.0
247,368.0
248,345.0
249,318.0
250,344.0
251,285.0
252,331.0
253,313.0
254,252.0
255,217.0
256,339.0
257,349.0
258,359.0
259,388.0
260,318.0
261,350.0
262,330.0
263,366.0
264,335.0
265,278.0
266,308.0
267,344.0
268,293.0
269,291.0
270,290.0
271,312.0
272,297.0
273,294.0
274,250.0
275,232.0
276,346.0
277,321.0
278,317.0
279,378.0
280,329.0
281,344.0
282,299.0
283,346.0
284,361.0
285,323.0
286,374.0
287,310.0
288,345.0
289,211.0
290,341.0
291,358.0
292,309.0
293,312.0
294,268.0
295,294.0
296,310.0
297,281.0
298,328.0
299,276.0
300,341.0
301,306.0
302,363.0
303,399.0
304,314.0
305,301.0
306,265.0
307,329.0
308,251.0
309,361.0
310,281.0
311,317.0
312,367.0
313,379.0
314,358.0
315,270.0
316,297.0
317,334.0
318,264.0
319,349.0
320,290.0
321,312.0
322,302.0
323,268.0
324,216.0
325,330.0
326,301.0
327,327.0
328,291.0
329,327.0
330,327.0
331,269.0
332,378.0
333,308.0
334,276.0
335,248.0
336,334.0
337,375.0
338,304.0
339,405.0
340,344.0
341,238.0
342,336.0
343,374.0
344,334.0
345,285.0
346,332.0
347,261.0
348,289.0
349,292.0
350,365.0
351,370.0
352,352.0
353,295.0
354,359.0
355,316.0
356,337.0
357,287.0
358,295.0
359,344.0
360,262.0
361,247.0
362,292.0
363,280.0
364,331.0
365,334.0
366,276.0
367,346.0
368,345.0
369,324.0
370,285.0
371,326.0
372,321.0
373,255.0
374,273.0
375,302.0
376,355.0
377,285.0
378,337.0
379,180.0
380,239.0
381,234.0
382,352.0
383,343.0
384,365.0
385,259.0
386,229.0
387,246.0
388,351.0
389,387.0
390,341.0
391,381.0
392,263.0
393,312.0
394,378.0
395,257.0
396,275.0
397,355.0
398,373.0
399,307.0
400,298.0
401,270.0
402,355.0
403,298.0
404,341.0
405,318.0
406,239.0
407,412.0
408,340.0
409,324.0
410,262.0
411,353.0
412,326.0
413,348.0
414,363.0
415,268.0
416,319.0
417,298.0
418,295.0
419,265.0
420,306.0
421,322.0
422,342.0
423,368.0
424,292.0
425,323.0
426,330.0
427,346.0
428,373.0
429,313.0
430,297.0
431,293.0
432,270.0
433,223.0
434,285.0
435,304.0
436,341.0
437,263.0
438,281.0
439,254.0
440,255.0
441,348.0
442,263.0
443,257.0
444,337.0
445,292.0
446,301.0
447,295.0
448,295.0
449,337.0
450,327.0
451,276.0
452,266.0
453,357.0
454,303.0
455,337.0
456,402.0
457,363.0
458,353.0
459,349.0
460,348.0
461,271.0
462,252.0
463,347.0
464,290.0
465,270.0
466,385.0
467,308.0
468,323.0
469,271.0
470,309.0
471,327.0
472,227.0
473,371.0
474,269.0
475,329.0
476,304.0
477,371.0
478,271.0
479,341.0
480,338.0
481,306.0
482,324.0
483,327.0
484,365.0
485,324.0
486,327.0
487,335.0
488,311.0
489,224.0
490,314.0
491,294.0
492,352.0
493,343.0
494,297.0
495,291.0
496,356.0
497,331.0
498,232.0
499,381.0
500,284.0
501,348.0
502,291.0
503,319.0
504,287.0
505,323.0
506,217.0
507,373.0
508,303.0
509,299.0
510,374.0
511,283.0
512,216.0
513,245.0
514,343.0
515,324.0
516,306.0
517,309.0
518,333.0
519,338.0
520,326.0
521,349.0
522,299.0
523,296.0
524,319.0
525,243.0
526,338.0
527,274.0
528,329.0
529,302.0
530,212.0
531,298.0
532,351.0
533,352.0
534,344.0
535,259.0
536,394.0
537,378.0
538,360.0
539,267.0
540,351.0
541,268.0
542,339.0
543,327.0
544,290.0
545,266.0
546,280.0
547,248.0
548,308.0
549,364.0
550,361.0
551,301.0
552,307.0
553,300.0
554,364.0
555,355.0
556,339.0
557,288.0
558,352.0
559,273.0
560,289.0
561,307.0
562,347.0
563,333.0
564,341.0
565,343.0
566,298.0
567,369.0
568,409.0
569,339.0
570,340.0
571,369.0
572,283.0
573,284.0
574,274.0
575,234.0
576,350.0
577,342.0
578,372.0
579,360.0
580,374.0
581,311.0
582,259.0
583,339.0
584,366.0
585,261.0
586,351.0
587,266.0
588,341.0
589,305.0
590,351.0
591,357.0
592,243.0
593,263.0
594,365.0
595,338.0
596,361.0
597,383.0
598,248.0
599,355.0
600,296.0
601,239.0
602,344.0
603,270.0
604,369.0
605,319.0
606,315.0
607,240.0
608,313.0
609,341.0
610,296.0
611,299.0
612,241.0
613,320.0
614,262.0
615,321.0
616,258.0
617,343.0
618,276.0
619,252.0
620,229.0
621,322.0
622,313.0
623,279.0
624,345.0
625,353.0
626,243.0
627,239.0
628,353.0
629,274.0
630,334.0
631,318.0
632,291.0
633,291.0
634,346.0
635,357.0
636,310.0
637,296.0
638,315.0
639,313.0
640,264.0
