,piece_counts_sum
0,457.0
1,362.0
2,533.0
3,514.0
4,536.0
5,422.0
6,451.0
7,389.0
8,476.0
9,295.0
10,368.0
11,579.0
12,384.0
13,511.0
14,323.0
15,412.0
16,448.0
17,438.0
18,508.0
19,526.0
20,423.0
21,466.0
22,511.0
23,456.0
24,541.0
25,468.0
26,463.0
27,508.0
28,413.0
29,393.0
30,488.0
31,450.0
32,417.0
33,452.0
34,482.0
35,398.0
36,481.0
37,397.0
38,327.0
39,477.0
40,194.0
41,270.0
42,406.0
43,469.0
44,546.0
45,381.0
46,463.0
47,457.0
48,460.0
49,416.0
50,465.0
51,463.0
52,499.0
53,430.0
54,434.0
55,414.0
56,428.0
57,394.0
58,516.0
59,499.0
60,489.0
61,407.0
62,486.0
63,515.0
64,490.0
65,557.0
66,470.0
67,527.0
68,400.0
69,402.0
70,473.0
71,337.0
72,445.0
73,495.0
74,472.0
75,536.0
76,397.0
77,395.0
78,527.0
79,500.0
80,375.0
81,384.0
82,387.0
83,335.0
84,568.0
85,449.0
86,493.0
87,443.0
88,457.0
89,353.0
90,441.0
91,361.0
92,387.0
93,405.0
94,451.0
95,497.0
96,447.0
97,501.0
98,504.0
99,513.0
100,478.0
101,361.0
102,449.0
103,515.0
104,387.0
105,475.0
106,522.0
107,364.0
108,393.0
109,504.0
110,488.0
111,268.0
112,433.0
113,393.0
114,392.0
115,494.0
116,301.0
117,367.0
118,404.0
119,432.0
120,474.0
121,487.0
122,555.0
123,471.0
124,451.0
125,414.0
126,528.0
127,301.0
128,432.0
129,463.0
130,457.0
131,432.0
132,325.0
133,339.0
134,505.0
135,499.0
136,397.0
137,502.0
138,464.0
139,431.0
140,535.0
141,474.0
142,426.0
143,479.0
144,416.0
145,453.0
146,504.0
147,423.0
148,395.0
149,463.0
150,357.0
151,407.0
152,302.0
153,456.0
154,488.0
155,392.0
156,410.0
157,462.0
158,488.0
159,453.0
160,483.0
161,332.0
162,453.0
163,499.0
164,356.0
165,297.0
166,380.0
167,367.0
168,439.0
169,418.0
170,411.0
171,420.0
172,482.0
173,524.0
174,446.0
175,414.0
176,494.0
177,506.0
178,489.0
179,465.0
180,516.0
181,456.0
182,431.0
183,539.0
184,459.0
185,545.0
186,323.0
187,492.0
188,547.0
189,454.0
190,409.0
191,484.0
192,417.0
193,398.0
194,482.0
195,482.0
196,485.0
197,394.0
198,500.0
199,481.0
200,411.0
201,424.0
202,456.0
203,444.0
204,467.0
205,451.0
206,397.0
207,506.0
208,494.0
209,487.0
210,346.0
211,347.0
212,408.0
213,479.0
214,519.0
215,353.0
216,399.0
217,441.0
218,455.0
219,299.0
220,469.0
221,465.0
222,430.0
223,432.0
224,476.0
225,323.0
226,380.0
227,439.0
228,413.0
229,465.0
230,478.0
231,343.0
232,506.0
233,314.0
234,282.0
235,416.0
236,453.0
237,413.0
238,299.0
239,427.0
240,507.0
241,580.0
242,468.0
243,512.0
244,434.0
245,464.0
246,441.0
247,509.0
248,307.0
249,482.0
250,502.0
251,311.0
252,377.0
253,340.0
254,477.0
255,430.0
256,394.0
257,497.0
258,374.0
259,431.0
260,466.0
261,433.0
262,478.0
263,478.0
264,468.0
265,421.0
266,390.0
267,455.0
268,502.0
269,430.0
270,479.0
271,456.0
272,473.0
273,385.0
274,514.0
275,476.0
276,526.0
277,494.0
278,469.0
279,463.0
280,506.0
281,481.0
282,547.0
283,539.0
284,402.0
285,360.0
286,427.0
287,357.0
288,446.0
289,348.0
290,334.0
291,451.0
292,451.0
293,462.0
294,399.0
295,415.0
296,420.0
297,511.0
298,422.0
299,376.0
300,495.0
301,369.0
302,463.0
303,561.0
304,474.0
305,488.0
306,371.0
307,515.0
308,411.0
309,548.0
310,447.0
311,366.0
312,507.0
313,498.0
314,379.0
315,332.0
316,388.0
317,518.0
318,382.0
319,391.0
320,504.0
321,480.0
322,505.0
323,319.0
324,470.0
325,479.0
326,424.0
327,471.0
328,399.0
329,491.0
330,530.0
331,422.0
332,518.0
333,549.0
334,374.0
335,426.0
336,443.0
337,417.0
338,447.0
339,576.0
340,495.0
341,440.0
342,494.0
343,428.0
344,456.0
345,433.0
346,457.0
347,412.0
348,472.0
349,393.0
350,477.0
351,156.0
352,270.0
353,318.0
354,445.0
355,420.0
356,500.0
357,532.0
358,408.0
359,454.0
360,229.0
361,478.0
362,443.0
363,473.0
364,393.0
365,521.0
366,425.0
367,419.0
368,496.0
369,470.0
370,439.0
371,477.0
372,492.0
373,436.0
374,401.0
375,484.0
376,534.0
377,397.0
378,519.0
379,372.0
380,434.0
381,254.0
382,424.0
383,522.0
384,558.0
385,475.0
386,490.0
387,454.0
388,476.0
389,459.0
390,455.0
391,444.0
392,463.0
393,514.0
394,501.0
395,441.0
396,503.0
397,405.0
398,496.0
399,373.0
400,382.0
401,460.0
402,572.0
403,483.0
404,346.0
405,488.0
406,517.0
407,388.0
408,504.0
409,460.0
410,439.0
411,514.0
412,466.0
413,352.0
414,469.0
415,485.0
416,384.0
417,429.0
418,470.0
419,465.0
420,411.0
421,484.0
422,371.0
423,539.0
424,531.0
425,502.0
426,497.0
427,532.0
428,390.0
429,421.0
430,413.0
431,520.0
432,403.0
433,501.0
434,314.0
435,427.0
436,381.0
437,413.0
438,555.0
439,533.0
440,453.0
441,444.0
442,417.0
443,430.0
444,458.0
445,435.0
446,392.0
447,416.0
448,399.0
449,537.0
450,435.0
451,504.0
452,418.0
453,415.0
454,376.0
455,266.0
456,505.0
457,406.0
458,459.0
459,455.0
460,359.0
461,467.0
462,525.0
463,474.0
464,418.0
465,484.0
466,492.0
467,438.0
468,478.0
469,326.0
470,385.0
471,482.0
472,518.0
473,460.0
474,411.0
475,440.0
476,476.0
477,539.0
478,446.0
479,454.0
480,550.0
481,542.0
482,485.0
483,541.0
484,476.0
485,343.0
486,511.0
487,519.0
488,488.0
489,398.0
490,493.0
491,409.0
492,490.0
493,369.0
494,399.0
495,423.0
496,515.0
497,362.0
498,389.0
499,447.0
500,463.0
501,393.0
502,447.0
503,512.0
504,403.0
505,426.0
506,539.0
507,498.0
508,416.0
509,436.0
510,404.0
511,258.0
512,502.0
513,435.0
514,523.0
515,334.0
516,452.0
517,493.0
518,492.0
519,365.0
520,441.0
521,432.0
522,488.0
523,500.0
524,539.0
525,537.0
526,413.0
527,370.0
528,475.0
529,396.0
530,418.0
531,447.0
532,315.0
533,422.0
534,476.0
535,344.0
536,353.0
537,529.0
538,503.0
539,344.0
540,387.0
541,386.0
542,375.0
543,519.0
544,503.0
545,458.0
546,467.0
547,525.0
548,406.0
549,500.0
550,411.0
551,513.0
552,430.0
553,425.0
554,486.0
555,330.0
556,322.0
557,474.0
558,296.0
559,424.0
560,398.0
561,518.0
562,398.0
563,537.0
564,498.0
565,325.0
566,312.0
567,394.0
568,503.0
569,342.0
570,311.0
571,498.0
572,460.0
573,429.0
574,449.0
575,443.0
576,505.0
577,585.0
578,341.0
579,402.0
580,540.0
581,439.0
582,486.0
583,580.0
584,485.0
585,371.0
586,364.0
587,435.0
588,431.0
589,425.0
590,486.0
591,355.0
592,433.0
593,446.0
594,494.0
595,459.0
596,421.0
597,515.0
598,520.0
599,310.0
600,538.0
601,389.0
602,472.0
603,530.0
604,437.0
605,450.0
606,494.0
607,353.0
608,450.0
609,451.0
610,373.0
611,498.0
612,445.0
613,458.0
614,468.0
615,467.0
616,416.0
617,421.0
618,468.0
619,357.0
620,467.0
621,464.0
622,474.0
623,392.0
624,447.0
625,525.0
626,448.0
627,534.0
628,516.0
629,515.0
630,432.0
631,399.0
632,434.0
633,393.0
634,488.0
635,461.0
636,435.0
637,351.0
638,401.0
639,515.0
640,484.0
641,443.0
642,472.0
643,437.0
644,424.0
645,453.0
646,393.0
647,474.0
648,518.0
649,404.0
650,415.0
651,372.0
652,472.0
653,459.0
654,556.0
655,414.0
656,460.0
657,405.0
658,515.0
659,547.0
660,465.0
661,371.0
662,473.0
663,374.0
664,530.0
665,473.0
666,361.0
667,437.0
668,445.0
669,570.0
670,492.0
671,436.0
672,470.0
673,465.0
674,446.0
675,494.0
676,489.0
677,164.0
678,438.0
679,461.0
680,447.0
681,435.0
682,541.0
683,413.0
684,403.0
685,446.0
686,474.0
687,142.0
688,270.0
689,321.0
690,391.0
691,335.0
692,484.0
693,475.0
694,320.0
695,318.0
696,379.0
697,447.0
698,458.0
699,394.0
700,432.0
701,503.0
702,523.0
703,392.0
704,430.0
705,497.0
706,498.0
707,268.0
708,426.0
709,531.0
710,501.0
711,365.0
712,347.0
713,506.0
714,455.0
715,442.0
716,502.0
717,471.0
718,441.0
719,470.0
720,437.0
721,362.0
722,535.0
723,427.0
724,397.0
725,537.0
726,390.0
727,527.0
728,502.0
729,409.0
730,530.0
731,435.0
732,492.0
733,335.0
734,378.0
735,431.0
736,446.0
737,462.0
738,428.0
739,508.0
740,371.0
741,466.0
742,466.0
743,320.0
744,521.0
745,518.0
746,526.0
747,429.0
748,433.0
749,360.0
750,335.0
751,463.0
752,546.0
753,460.0
754,500.0
755,406.0
