,piece_counts_sum
0,331.0
1,380.0
2,390.0
3,386.0
4,369.0
5,447.0
6,340.0
7,406.0
8,390.0
9,334.0
10,385.0
11,478.0
12,372.0
13,435.0
14,388.0
15,450.0
16,406.0
17,412.0
18,422.0
19,364.0
20,378.0
21,265.0
22,345.0
23,249.0
24,368.0
25,398.0
26,470.0
27,451.0
28,325.0
29,366.0
30,434.0
31,390.0
32,472.0
33,354.0
34,418.0
35,336.0
36,376.0
37,394.0
38,427.0
39,337.0
40,487.0
41,428.0
42,391.0
43,394.0
44,347.0
45,360.0
46,378.0
47,402.0
48,400.0
49,491.0
50,437.0
51,375.0
52,336.0
53,354.0
54,432.0
55,410.0
56,454.0
57,429.0
58,371.0
59,431.0
60,470.0
61,392.0
62,455.0
63,433.0
64,436.0
65,432.0
66,394.0
67,275.0
68,323.0
69,291.0
70,335.0
71,348.0
72,442.0
73,399.0
74,374.0
75,447.0
76,340.0
77,347.0
78,390.0
79,362.0
80,446.0
81,450.0
82,480.0
83,504.0
84,434.0
85,465.0
86,443.0
87,479.0
88,429.0
89,352.0
90,415.0
91,477.0
92,420.0
93,410.0
94,483.0
95,259.0
96,412.0
97,451.0
98,360.0
99,430.0
100,329.0
101,467.0
102,410.0
103,408.0
104,434.0
105,458.0
106,339.0
107,406.0
108,446.0
109,354.0
110,417.0
111,407.0
112,442.0
113,458.0
114,458.0
115,379.0
116,393.0
117,441.0
118,398.0
119,434.0
120,359.0
121,378.0
122,404.0
123,389.0
124,441.0
125,445.0
126,393.0
127,406.0
128,450.0
129,292.0
130,339.0
131,458.0
132,445.0
133,407.0
134,313.0
135,384.0
136,395.0
137,372.0
138,342.0
139,408.0
140,447.0
141,459.0
142,411.0
143,372.0
144,446.0
145,437.0
146,439.0
147,366.0
148,386.0
149,415.0
150,404.0
151,481.0
152,339.0
153,429.0
154,452.0
155,362.0
156,323.0
157,380.0
158,454.0
159,378.0
160,474.0
161,359.0
162,407.0
163,477.0
164,307.0
165,379.0
166,411.0
167,397.0
168,378.0
169,433.0
170,398.0
171,469.0
172,350.0
173,468.0
174,414.0
175,412.0
176,420.0
177,370.0
178,430.0
179,411.0
180,400.0
181,395.0
182,367.0
183,427.0
184,420.0
185,443.0
186,387.0
187,313.0
188,439.0
189,360.0
190,388.0
191,391.0
192,474.0
193,438.0
194,409.0
195,338.0
196,368.0
197,402.0
198,360.0
199,420.0
200,409.0
201,458.0
202,442.0
203,353.0
204,428.0
205,492.0
206,351.0
207,448.0
208,356.0
209,440.0
210,370.0
211,360.0
212,439.0
213,328.0
214,333.0
215,449.0
216,378.0
217,312.0
218,432.0
219,390.0
220,438.0
221,410.0
222,346.0
223,305.0
224,336.0
225,405.0
226,346.0
227,416.0
228,398.0
229,371.0
230,382.0
231,391.0
232,389.0
233,407.0
234,470.0
235,484.0
236,445.0
237,448.0
238,402.0
239,366.0
240,473.0
241,396.0
242,448.0
243,372.0
244,406.0
245,362.0
246,400.0
