target_lang,donor_lang,atds
punjabi,hindi-clustered,0.785
punjabi,hindi-clustered406,0.729
punjabi,hindi-clustered842,0.727
punjabi,hindi-clustered379,0.722
punjabi,hindi-clustered778,0.719
punjabi,hindi-clustered822,0.719
punjabi,hindi-clustered975,0.718
punjabi,hindi-clustered252,0.717
punjabi,hindi-clustered207,0.717
punjabi,hindi-clustered460,0.717
punjabi,hindi-clustered912,0.716
punjabi,hindi-clustered598,0.716
punjabi,hindi-clustered611,0.716
punjabi,hindi-clustered503,0.714
punjabi,hindi-clustered386,0.712
punjabi,hindi-clustered250,0.712
punjabi,hindi-clustered732,0.712
punjabi,hindi-clustered658,0.712
punjabi,hindi-clustered190,0.712
punjabi,hindi-clustered908,0.712
punjabi,hindi-clustered28,0.711
punjabi,hindi-clustered893,0.711
punjabi,hindi-clustered220,0.711
punjabi,hindi-clustered530,0.71
punjabi,hindi-clustered617,0.71
punjabi,hindi-clustered872,0.71
punjabi,hindi-clustered848,0.71
punjabi,hindi-clustered155,0.709
punjabi,hindi-clustered692,0.709
punjabi,hindi-clustered213,0.709
punjabi,hindi-clustered183,0.709
punjabi,hindi-clustered999,0.708
punjabi,hindi-clustered277,0.708
punjabi,hindi-clustered971,0.708
punjabi,hindi-clustered369,0.707
punjabi,hindi-clustered541,0.707
punjabi,hindi-clustered674,0.706
punjabi,hindi-clustered547,0.705
punjabi,hindi-clustered374,0.705
punjabi,hindi-clustered141,0.705
punjabi,hindi-clustered315,0.704
punjabi,hindi-clustered726,0.704
punjabi,hindi-clustered50,0.704
punjabi,hindi-clustered448,0.704
punjabi,hindi-clustered324,0.703
punjabi,hindi-clustered441,0.703
punjabi,hindi-clustered253,0.703
punjabi,hindi-clustered679,0.703
punjabi,hindi-clustered255,0.703
punjabi,hindi-clustered365,0.703
punjabi,hindi-clustered571,0.703
punjabi,hindi-clustered38,0.703
punjabi,hindi-clustered284,0.702
punjabi,hindi-clustered104,0.702
punjabi,hindi-clustered806,0.702
punjabi,hindi-clustered551,0.702
punjabi,hindi-clustered980,0.702
punjabi,hindi-clustered63,0.701
punjabi,hindi-clustered331,0.701
punjabi,hindi-clustered335,0.701
punjabi,hindi-clustered740,0.701
punjabi,hindi-clustered527,0.701
punjabi,hindi-clustered913,0.7
punjabi,hindi-clustered377,0.7
punjabi,hindi-clustered78,0.7
punjabi,hindi-clustered799,0.7
punjabi,hindi-clustered271,0.7
punjabi,hindi-clustered415,0.699
punjabi,hindi-clustered384,0.699
punjabi,hindi-clustered575,0.699
punjabi,hindi-clustered418,0.699
punjabi,hindi-clustered889,0.699
punjabi,hindi-clustered46,0.698
punjabi,hindi-clustered225,0.698
punjabi,hindi-clustered164,0.698
punjabi,hindi-clustered126,0.698
punjabi,hindi-clustered55,0.698
punjabi,hindi-clustered83,0.698
punjabi,hindi-clustered456,0.698
punjabi,hindi-clustered114,0.697
punjabi,hindi-clustered313,0.697
punjabi,hindi-clustered387,0.697
punjabi,hindi-clustered989,0.697
punjabi,hindi-clustered60,0.697
punjabi,hindi-clustered709,0.697
punjabi,hindi-clustered995,0.697
punjabi,hindi-clustered742,0.697
punjabi,hindi-clustered303,0.696
punjabi,hindi-clustered399,0.696
punjabi,hindi-clustered517,0.696
punjabi,hindi-clustered405,0.696
punjabi,hindi-clustered735,0.696
punjabi,hindi-clustered76,0.696
punjabi,hindi-clustered594,0.696
punjabi,hindi-clustered705,0.695
punjabi,hindi-clustered970,0.695
punjabi,hindi-clustered459,0.695
punjabi,hindi-clustered254,0.694
punjabi,hindi-clustered383,0.694
punjabi,hindi-clustered697,0.694
punjabi,hindi-clustered75,0.694
punjabi,hindi-clustered847,0.694
punjabi,hindi-clustered981,0.694
punjabi,hindi-clustered385,0.693
punjabi,hindi-clustered672,0.693
punjabi,hindi-clustered396,0.693
punjabi,hindi-clustered606,0.693
punjabi,hindi-clustered520,0.693
punjabi,hindi-clustered185,0.693
punjabi,hindi-clustered826,0.693
punjabi,hindi-clustered309,0.693
punjabi,hindi-clustered614,0.692
punjabi,hindi-clustered626,0.692
punjabi,hindi-clustered436,0.692
punjabi,hindi-clustered150,0.692
punjabi,hindi-clustered738,0.692
punjabi,hindi-clustered359,0.692
punjabi,hindi-clustered68,0.692
punjabi,hindi-clustered283,0.692
punjabi,hindi-clustered332,0.692
punjabi,hindi-clustered105,0.692
punjabi,hindi-clustered272,0.692
punjabi,hindi-clustered932,0.692
punjabi,hindi-clustered907,0.692
punjabi,hindi-clustered959,0.692
punjabi,hindi-clustered583,0.692
punjabi,hindi-clustered442,0.691
punjabi,hindi-clustered326,0.691
punjabi,hindi-clustered941,0.691
punjabi,hindi-clustered336,0.691
punjabi,hindi-clustered361,0.691
punjabi,hindi-clustered657,0.691
punjabi,hindi-clustered753,0.691
punjabi,hindi-clustered348,0.691
punjabi,hindi-clustered853,0.691
punjabi,hindi-clustered439,0.691
punjabi,hindi-clustered256,0.691
punjabi,hindi-clustered906,0.691
punjabi,hindi-clustered241,0.691
punjabi,hindi-clustered26,0.691
punjabi,hindi-clustered756,0.69
punjabi,hindi-clustered947,0.69
punjabi,hindi-clustered696,0.69
punjabi,hindi-clustered107,0.69
punjabi,hindi-clustered731,0.69
punjabi,hindi-clustered700,0.69
punjabi,hindi-clustered44,0.69
punjabi,hindi-clustered424,0.69
punjabi,hindi-clustered772,0.69
punjabi,hindi-clustered494,0.69
punjabi,hindi-clustered378,0.69
punjabi,hindi-clustered12,0.69
punjabi,hindi-clustered671,0.69
punjabi,hindi-clustered483,0.69
punjabi,hindi-clustered344,0.689
punjabi,hindi-clustered578,0.689
punjabi,hindi-clustered352,0.689
punjabi,hindi-clustered894,0.689
punjabi,hindi-clustered759,0.689
punjabi,hindi-clustered627,0.689
punjabi,hindi-clustered247,0.689
punjabi,hindi-clustered663,0.689
punjabi,hindi-clustered428,0.689
punjabi,hindi-clustered867,0.688
punjabi,hindi-clustered763,0.688
punjabi,hindi-clustered817,0.688
punjabi,hindi-clustered984,0.688
punjabi,hindi-clustered354,0.688
punjabi,hindi-clustered407,0.688
punjabi,hindi-clustered422,0.688
punjabi,hindi-clustered849,0.688
punjabi,hindi-clustered846,0.688
punjabi,hindi-clustered440,0.688
punjabi,hindi-clustered408,0.688
punjabi,hindi-clustered398,0.688
punjabi,hindi-clustered869,0.688
punjabi,hindi-clustered504,0.687
punjabi,hindi-clustered557,0.687
punjabi,hindi-clustered323,0.687
punjabi,hindi-clustered813,0.687
punjabi,hindi-clustered766,0.687
punjabi,hindi-clustered555,0.687
punjabi,hindi-clustered879,0.687
punjabi,hindi-clustered859,0.686
punjabi,hindi-clustered429,0.686
punjabi,hindi-clustered23,0.686
punjabi,hindi-clustered182,0.686
punjabi,hindi-clustered140,0.686
punjabi,hindi-clustered818,0.686
punjabi,hindi-clustered464,0.686
punjabi,hindi-clustered526,0.686
punjabi,hindi-clustered195,0.686
punjabi,hindi-clustered11,0.686
punjabi,hindi-clustered888,0.686
punjabi,hindi-clustered5,0.685
punjabi,hindi-clustered694,0.685
punjabi,hindi-clustered186,0.685
punjabi,hindi-clustered725,0.685
punjabi,hindi-clustered668,0.685
punjabi,hindi-clustered25,0.685
punjabi,hindi-clustered130,0.684
punjabi,hindi-clustered462,0.684
punjabi,hindi-clustered509,0.684
punjabi,hindi-clustered438,0.684
punjabi,hindi-clustered217,0.684
punjabi,hindi-clustered81,0.684
punjabi,hindi-clustered176,0.684
punjabi,hindi-clustered860,0.684
punjabi,hindi-clustered22,0.684
punjabi,hindi-clustered117,0.684
punjabi,hindi-clustered628,0.684
punjabi,hindi-clustered475,0.684
punjabi,hindi-clustered258,0.684
punjabi,hindi-clustered218,0.684
punjabi,hindi-clustered181,0.684
punjabi,hindi-clustered542,0.683
punjabi,hindi-clustered31,0.683
punjabi,hindi-clustered98,0.683
punjabi,hindi-clustered924,0.683
punjabi,hindi-clustered246,0.683
punjabi,hindi-clustered401,0.682
punjabi,hindi-clustered951,0.682
punjabi,hindi-clustered773,0.682
punjabi,hindi-clustered102,0.682
punjabi,hindi-clustered931,0.682
punjabi,hindi-clustered723,0.682
punjabi,hindi-clustered479,0.682
punjabi,hindi-clustered444,0.682
punjabi,hindi-clustered299,0.682
punjabi,hindi-clustered832,0.681
punjabi,hindi-clustered99,0.681
punjabi,hindi-clustered193,0.681
punjabi,hindi-clustered131,0.681
punjabi,hindi-clustered37,0.681
punjabi,hindi-clustered304,0.681
punjabi,hindi-clustered603,0.681
punjabi,hindi-clustered734,0.68
punjabi,hindi-clustered267,0.68
punjabi,hindi-clustered762,0.68
punjabi,hindi-clustered850,0.68
punjabi,hindi-clustered718,0.68
punjabi,hindi-clustered704,0.68
punjabi,hindi-clustered589,0.68
punjabi,hindi-clustered212,0.68
punjabi,hindi-clustered434,0.68
punjabi,hindi-clustered295,0.68
punjabi,hindi-clustered6,0.68
punjabi,hindi-clustered570,0.68
punjabi,hindi-clustered987,0.68
punjabi,hindi-clustered819,0.68
punjabi,hindi-clustered943,0.679
punjabi,hindi-clustered898,0.679
