,rank
0,5
1,5
2,5
3,9
4,4
5,9
6,6
7,4
8,6
9,2
10,5
11,9
12,7
13,7
14,5
15,3
16,6
17,6
18,11
19,8
20,5
21,7
22,7
23,2
24,10
25,4
26,6
27,4
28,5
29,3
30,4
31,6
32,5
33,6
34,8
35,7
36,4
37,7
38,9
39,4
40,6
41,6
42,9
43,5
44,11
45,5
46,3
47,5
48,6
49,12
50,11
51,8
52,5
53,5
54,7
55,7
56,7
57,8
58,5
59,9
60,3
61,7
62,5
63,4
64,5
65,4
66,2
67,4
68,4
69,7
70,7
71,5
72,7
73,6
74,7
75,7
76,5
77,5
78,2
79,5
80,8
81,8
82,4
83,5
84,6
85,8
86,4
87,7
88,4
89,7
90,7
91,5
92,10
93,5
94,7
95,7
96,6
97,7
98,5
99,5
100,8
101,4
102,7
103,2
104,8
105,3
106,8
107,9
108,4
109,7
110,7
111,6
112,6
113,7
114,9
115,5
116,5
117,7
118,3
119,4
120,6
121,5
122,6
123,8
124,6
125,10
126,2
127,2
128,7
129,8
130,9
131,3
132,7
133,7
134,7
135,2
136,8
137,6
138,7
139,9
140,9
141,10
142,7
143,8
144,7
145,9
146,8
147,8
148,7
149,6
150,8
151,16
152,8
153,2
154,5
155,7
156,6
157,7
158,8
159,6
160,4
161,6
162,8
163,2
164,5
165,11
166,2
167,7
168,6
169,6
170,4
171,1
172,4
173,7
174,4
175,5
176,8
177,3
178,8
179,7
180,3
181,9
182,9
183,5
184,6
185,8
186,3
187,4
188,8
189,9
190,4
191,8
192,2
193,9
194,5
195,5
196,6
197,5
198,10
199,6
200,5
201,8
202,7
203,7
204,5
205,6
206,3
207,7
208,4
209,8
210,11
211,10
212,4
213,10
214,2
215,7
216,6
217,9
218,7
219,7
220,6
221,7
222,7
223,8
224,7
225,5
226,8
227,10
228,6
229,5
230,5
231,4
232,2
233,4
234,8
235,4
236,8
237,7
238,13
239,6
240,2
241,5
242,7
243,9
244,13
245,12
246,5
247,2
248,5
249,4
250,5
251,8
252,9
253,5
254,8
255,5
256,7
257,8
258,4
259,6
260,4
261,6
262,7
263,2
264,5
265,8
266,7
267,7
268,6
269,4
270,5
271,5
272,5
273,8
274,4
275,7
276,5
277,5
278,6
279,3
280,5
281,5
282,4
283,5
284,8
285,7
286,3
287,8
288,9
289,5
290,6
291,7
292,4
293,7
294,6
295,4
296,9
297,3
298,6
299,7
300,5
301,8
302,10
303,5
304,13
305,6
306,5
307,7
308,10
309,8
310,2
311,9
312,8
313,5
314,5
315,5
316,6
317,5
318,8
319,9
320,7
321,7
322,7
323,3
324,6
325,8
326,17
327,4
328,6
329,7
330,4
331,7
332,8
333,3
334,7
335,10
336,23
337,5
338,7
339,3
340,8
341,8
342,6
343,4
344,5
345,12
346,6
347,6
348,6
349,4
350,6
351,4
352,10
353,9
354,7
355,10
356,9
357,8
358,7
359,7
360,3
361,7
362,7
363,8
364,8
365,10
366,7
367,6
368,4
369,7
370,7
371,5
372,5
373,8
374,8
375,3
376,5
377,3
378,6
379,10
380,12
381,5
382,5
383,5
384,9
385,7
386,8
387,4
388,7
389,7
390,7
391,6
392,3
393,3
394,3
395,6
396,13
397,7
398,5
399,10
400,6
401,6
402,6
403,4
404,4
405,3
406,7
407,7
408,4
409,6
410,13
411,8
412,5
413,12
414,3
415,6
416,6
417,9
418,11
419,6
420,3
421,10
422,6
423,7
424,7
425,8
426,7
427,6
428,6
429,5
430,11
431,9
432,9
433,6
434,8
435,5
436,9
437,10
438,10
439,6
440,7
441,9
442,7
443,9
444,5
445,6
446,8
447,9
448,5
449,8
450,5
451,4
452,5
453,6
454,10
455,9
456,6
457,8
458,8
459,6
460,7
461,5
462,10
463,4
464,5
465,5
466,6
467,5
468,7
469,7
470,4
471,3
472,7
473,3
474,8
475,8
476,7
477,9
478,7
479,6
480,6
481,3
482,8
483,7
484,3
485,3
486,4
487,3
488,8
489,7
490,2
491,8
492,4
493,3
494,3
495,6
496,7
497,8
498,7
499,9
500,6
501,5
502,6
503,4
504,7
505,10
506,4
507,5
508,6
509,5
510,8
511,3
512,4
513,6
514,11
515,6
516,4
517,1
518,3
519,9
520,2
521,8
522,7
523,5
524,8
525,7
526,4
527,7
528,8
529,12
530,8
531,7
532,6
533,8
534,7
535,9
536,7
537,8
538,8
539,3
540,10
541,7
542,7
543,7
544,2
545,5
546,7
547,6
548,8
549,6
550,7
551,8
552,3
553,6
554,4
555,4
556,4
557,5
558,6
559,4
560,8
561,6
562,8
563,3
564,7
565,6
