,rank
0,3
1,2
2,2
3,3
4,3
5,2
6,2
7,3
8,3
9,3
10,2
11,2
12,3
13,2
14,13
15,2
16,3
17,2
18,2
19,6
20,4
21,2
22,3
23,3
24,3
25,2
26,3
27,5
28,3
29,4
30,3
31,3
32,3
33,3
34,2
35,3
36,2
37,3
38,3
39,3
40,2
41,3
42,2
43,2
44,3
45,2
46,4
47,2
48,3
49,3
50,2
51,2
52,4
53,3
54,2
55,3
56,3
57,2
58,3
59,4
60,3
61,3
62,3
63,3
64,2
65,3
66,2
67,2
68,3
69,2
70,3
71,3
72,3
73,2
74,2
75,3
76,3
77,1
78,4
79,2
80,2
81,3
82,4
83,2
84,3
85,2
86,6
87,3
88,4
89,3
90,3
91,2
92,4
93,3
94,2
95,2
96,3
97,2
98,2
99,2
100,3
101,3
102,2
103,3
104,4
105,3
106,2
107,3
108,2
109,3
110,3
111,3
112,6
113,2
114,3
115,2
116,3
117,4
118,4
119,3
120,2
121,2
122,2
123,3
124,5
125,5
126,2
127,3
128,3
129,2
130,4
131,3
132,5
133,2
134,2
135,2
136,2
137,2
138,3
139,4
140,3
141,3
142,4
143,2
144,3
145,3
146,3
147,5
148,2
149,1
150,3
151,4
152,3
153,3
154,2
155,6
156,3
157,3
158,3
159,2
160,3
161,3
162,3
163,2
164,2
165,3
166,4
167,3
168,3
169,2
170,3
171,2
172,3
173,3
174,3
175,3
176,1
177,2
178,3
179,3
180,4
181,3
182,2
183,3
184,3
185,2
186,5
187,2
188,3
189,3
190,2
191,3
192,2
193,7
194,3
195,2
196,1
197,3
198,2
199,3
200,2
201,2
202,5
203,2
204,3
205,3
206,3
207,3
208,2
209,2
210,1
211,3
212,2
213,3
214,2
215,2
216,2
217,3
218,2
219,4
220,3
221,2
222,2
223,3
224,2
225,3
226,2
227,2
228,5
229,4
230,3
231,3
232,3
233,2
234,2
235,3
236,2
237,3
238,3
239,2
240,2
241,3
242,5
243,2
244,2
245,2
246,2
247,2
248,2
249,6
250,3
251,2
252,3
253,2
254,4
255,3
256,3
257,2
258,3
259,4
260,2
261,2
262,3
263,3
264,3
265,3
266,3
267,3
268,3
269,4
270,3
271,2
272,2
273,2
274,3
275,3
276,2
277,3
278,3
279,3
280,3
281,3
282,3
283,2
284,2
285,3
286,2
287,2
288,3
289,4
290,3
291,3
292,2
293,2
294,3
295,4
296,2
297,3
298,2
299,2
300,3
301,2
302,1
303,1
304,3
305,3
306,2
307,2
308,8
309,3
310,3
311,3
312,2
313,2
314,1
315,3
316,2
317,3
318,2
319,3
320,3
321,3
322,2
323,2
324,3
325,2
326,2
327,2
328,2
329,4
330,3
331,4
332,2
333,3
334,2
335,3
336,3
337,3
338,3
339,3
340,3
341,2
342,2
343,4
344,2
345,2
346,3
347,3
348,3
349,3
350,3
351,2
352,2
353,3
354,2
355,2
356,3
357,1
358,3
359,3
360,3
361,12
362,2
363,7
364,3
365,3
366,2
367,5
368,3
369,2
370,3
371,2
372,5
373,3
374,4
375,3
376,2
377,2
378,3
379,3
380,3
381,2
382,1
383,2
384,2
385,2
386,3
387,7
388,2
389,2
390,3
391,3
392,3
393,2
394,2
395,3
396,3
397,4
398,3
399,3
400,2
401,4
402,3
403,2
404,3
405,3
406,4
407,2
408,2
409,3
410,3
411,4
412,6
413,3
414,3
415,3
416,3
417,3
418,3
419,3
420,3
421,3
422,3
423,2
424,3
425,3
426,3
427,2
428,2
429,3
430,3
431,2
432,2
433,4
434,2
435,2
436,8
437,2
438,4
439,4
440,3
441,3
442,3
443,2
444,2
445,3
446,2
447,3
448,3
449,4
450,3
451,3
452,3
453,2
454,3
455,3
456,2
457,3
458,3
459,2
460,5
461,3
462,2
463,3
464,2
465,3
466,3
467,4
468,2
469,2
470,3
471,2
472,2
473,3
474,3
475,2
476,6
477,3
478,3
479,3
480,3
481,3
482,3
483,3
484,2
485,3
486,5
487,3
488,2
489,5
490,2
491,4
492,2
493,2
494,2
495,3
496,4
497,3
498,3
499,1
500,2
501,2
502,2
