,rank
0,9
1,11
2,4
3,11
4,8
5,6
6,5
7,6
8,9
9,10
10,8
11,5
12,6
13,15
14,7
15,15
16,11
17,8
18,32
19,17
20,8
21,13
22,5
23,6
24,6
25,13
26,2
27,8
28,6
29,6
30,6
31,11
32,8
33,6
34,12
35,19
36,5
37,3
38,13
39,11
40,9
41,12
42,15
43,7
44,19
45,15
46,5
47,12
48,4
49,5
50,7
51,5
52,9
53,9
54,4
55,18
56,8
57,8
58,31
59,4
60,3
61,7
62,7
63,5
64,11
65,15
66,8
67,5
68,5
69,13
70,3
71,10
72,6
73,15
74,4
75,7
76,7
77,12
78,15
79,5
80,10
81,9
82,18
83,11
84,5
85,7
86,5
87,13
88,9
89,15
90,11
91,11
92,3
93,11
94,18
95,13
96,12
97,12
98,8
99,7
100,16
101,4
102,15
103,7
104,12
105,6
106,27
107,11
108,8
109,6
110,6
111,13
112,5
113,5
114,3
115,14
116,10
117,7
118,4
119,7
120,16
121,9
122,4
123,8
124,6
125,7
126,10
127,22
128,10
129,27
130,8
131,11
132,10
133,12
134,11
135,10
136,8
137,6
138,5
139,9
140,9
141,16
142,12
143,8
144,4
145,8
146,14
147,7
148,10
149,57
150,6
151,11
152,6
153,5
154,7
155,5
156,13
157,9
158,8
159,7
160,2
161,9
162,6
163,9
164,13
165,22
166,2
167,14
168,9
169,7
170,40
171,3
172,12
173,6
174,10
175,6
176,7
177,6
178,9
179,27
180,10
181,4
182,6
183,8
184,16
185,24
186,5
187,5
188,10
189,7
190,13
191,7
192,14
193,6
194,5
195,6
196,5
197,6
198,12
199,39
200,6
201,6
202,10
203,10
204,15
205,13
206,5
207,4
208,11
209,14
210,9
211,5
212,8
213,10
214,10
215,8
216,13
217,3
218,9
219,13
220,25
221,6
222,5
223,3
224,9
225,4
226,4
227,3
228,8
229,8
230,6
231,3
232,3
233,7
234,14
235,33
236,5
237,6
238,11
239,10
240,6
241,10
242,10
243,7
244,7
245,5
246,8
247,8
248,6
249,13
250,16
251,10
252,8
253,12
254,5
255,7
256,13
257,7
258,9
259,6
260,6
261,5
262,7
263,6
264,19
265,5
266,6
267,8
268,5
269,12
270,6
271,36
272,23
273,33
274,11
275,12
276,5
277,8
278,10
279,7
280,4
281,7
282,7
283,5
284,14
285,8
286,14
287,8
288,24
289,8
290,34
291,5
292,2
293,14
294,8
295,4
296,10
297,7
298,6
299,8
300,8
301,3
302,7
303,4
304,5
305,7
306,5
307,12
308,3
309,13
310,7
311,7
312,14
313,13
314,6
315,12
316,5
317,24
318,6
319,3
320,3
321,11
322,9
323,5
324,3
325,10
326,5
327,10
328,6
329,7
330,15
331,5
332,4
333,11
334,16
335,5
336,5
337,10
338,10
339,10
340,5
341,8
342,4
343,8
344,9
345,8
346,12
347,17
348,15
349,13
350,24
351,8
352,30
353,15
354,6
355,25
356,5
357,7
358,18
359,10
360,13
361,7
362,23
363,8
364,5
365,5
366,8
367,14
368,6
369,9
370,28
371,8
372,6
373,5
374,7
375,5
376,7
377,5
378,13
379,8
380,11
381,11
382,22
383,6
384,5
385,10
386,5
387,9
388,11
389,5
390,7
391,9
392,13
393,6
394,3
395,16
396,6
397,6
398,8
399,10
400,27
401,26
402,11
403,8
404,4
405,7
406,8
407,15
408,6
409,9
410,8
411,4
412,7
413,25
414,10
415,5
416,7
417,6
418,5
419,5
420,6
421,10
422,23
423,7
424,16
425,7
426,10
427,8
428,5
429,3
430,5
431,7
432,6
433,24
434,8
435,6
436,10
437,10
438,19
439,24
440,11
441,4
442,5
443,6
444,3
445,4
446,5
447,16
448,6
449,5
450,13
451,8
452,9
453,14
454,4
455,17
456,4
457,6
458,5
459,10
460,10
461,7
462,5
463,9
464,14
465,20
466,11
467,9
468,4
469,13
470,7
471,6
472,10
473,11
474,3
475,5
476,11
477,6
478,6
479,10
480,14
481,10
482,7
483,11
484,13
485,10
486,11
487,8
488,7
489,10
490,7
491,17
492,16
493,7
494,14
495,18
496,8
497,4
498,6
499,6
500,12
501,5
502,5
503,5
504,5
505,12
506,4
507,7
508,7
509,5
510,5
511,9
512,6
513,18
514,8
515,5
516,8
517,5
518,5
519,6
520,6
521,6
522,29
523,4
524,6
525,9
526,5
527,16
528,3
529,6
530,14
531,9
532,12
533,13
534,7
535,9
536,12
537,10
538,7
539,9
540,4
541,6
542,5
543,6
544,12
545,8
546,7
547,7
548,16
549,4
550,7
551,5
552,6
553,5
554,7
555,6
556,9
557,5
558,9
559,6
560,5
561,9
562,6
563,9
564,8
565,7
566,2
567,5
568,6
569,5
570,9
571,6
572,17
573,26
574,6
575,6
576,8
577,5
578,24
579,9
